chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,accession,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,isMoA,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget,proteinClass,isActive
CHEMBL1684984,1075318,CHEMBL1686449,1,LITERATURE,Bioorg Med Chem Lett,2.1316229E7,10.1016/j.bmcl.2011.01.065,101233,O00750,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide,CHEMBL5554,Homo sapiens,5300.0,nM,=,5.28,false,CHEMBL1684984,O00750,[ot_genetics_portal],false,false,Kinase,false
CHEMBL192,410802,CHEMBL4017550,1,LITERATURE,Drug Metab Dispos,2.2961681E7,10.1124/dmd.112.047068,102394,O95342,Bile salt export pump,CHEMBL6020,Homo sapiens,16430.0,nM,=,4.78,false,CHEMBL192,O95342,"[impc, ot_genetics_portal]",false,false,Transporter,false
CHEMBL2105717,1377987,CHEMBL4147638,1,LITERATURE,Eur J Med Chem,2.9407963E7,10.1016/j.ejmech.2018.01.061,11379,Q04912,Macrophage-stimulating protein receptor,CHEMBL2689,Homo sapiens,69.0,nM,=,7.16,false,CHEMBL2105717,Q04912,"[impc, eva, chembl, eva_somatic, uniprot_variants]",false,true,Kinase,false
CHEMBL1908360,1248731,CHEMBL3430487,1,LITERATURE,J Pharmacol Toxicol Methods,2.5087753E7,10.1016/j.vascn.2014.07.002,105509,P51787,"Voltage-gated potassium channel, IKs; KCNQ1(Kv7.1)/KCNE1(MinK)",CHEMBL2221347,Homo sapiens,100000.0,nM,=,4.0,false,CHEMBL1908360,P51787,"[impc, eva, ot_genetics_portal, chembl]",false,true,IC,false
CHEMBL553,14785,CHEMBL1908806,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30042,Q9NSY1,BMP-2-inducible protein kinase,CHEMBL4522,Homo sapiens,1200.0,nM,=,5.92,false,CHEMBL553,Q9NSY1,[ot_genetics_portal],false,false,Kinase,false
CHEMBL2110596,1383036,CHEMBL772607,1,LITERATURE,J Med Chem,6142954.0,10.1021/jm00370a011,104723,P25100,Adrenergic receptor alpha-1,CHEMBL2094251,Homo sapiens,109.65,nM,=,6.96,false,CHEMBL2110596,P25100,"[impc, ot_genetics_portal, chembl]",false,true,GPCR,true
CHEMBL262747,237299,CHEMBL853239,1,LITERATURE,J Med Chem,1.6759096E7,10.1021/jm060240a,118,P30968,Gonadotropin-releasing hormone receptor,CHEMBL1855,Homo sapiens,0.6918,nM,=,9.16,true,CHEMBL262747,P30968,"[impc, eva, orphanet, chembl]",false,true,GPCR,true
CHEMBL4084907,2224818,CHEMBL4019282,1,LITERATURE,J Med Chem,2.8829592E7,10.1021/acs.jmedchem.7b00930,11177,O00329,PI3-kinase p110-delta subunit,CHEMBL3130,Homo sapiens,25.0,nM,=,7.6,false,CHEMBL4084907,O00329,"[impc, ot_genetics_portal, chembl]",false,true,Kinase,false
CHEMBL490,6643,CHEMBL3436190,1,LITERATURE,Sci Rep,2.3812503E7,10.1038/srep02100,104801,Q13936,Voltage-gated L-type calcium channel,CHEMBL2095229,Homo sapiens,3900.0,nM,=,5.41,false,CHEMBL490,Q13936,"[ot_genetics_portal, chembl]",false,true,IC,true
CHEMBL53463,78759,CHEMBL1909205,15,DRUGMATRIX,,,,188,P04626,Receptor protein-tyrosine kinase erbB-2,CHEMBL1824,Homo sapiens,2485.0,nM,=,5.61,false,CHEMBL53463,P04626,"[impc, eva, intogen, ot_genetics_portal, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,false
CHEMBL553,14785,CHEMBL1908414,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,11407,P45984,c-Jun N-terminal kinase 2,CHEMBL4179,Homo sapiens,2000.0,nM,=,5.7,false,CHEMBL553,P45984,"[impc, chembl]",false,true,Kinase,false
CHEMBL24828,33576,CHEMBL1908453,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101464,O95819,Mitogen-activated protein kinase kinase kinase kinase 4,CHEMBL6166,Homo sapiens,1400.0,nM,=,5.85,false,CHEMBL24828,O95819,[eva],false,false,Kinase,false
CHEMBL118,18694,CHEMBL1909139,15,DRUGMATRIX,,,,88,P21728,Dopamine D1 receptor,CHEMBL2056,Homo sapiens,13997.0,nM,=,4.85,false,CHEMBL118,P21728,"[impc, chembl]",false,true,GPCR,false
CHEMBL491473,456867,CHEMBL1908783,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30035,Q9H2G2,Serine/threonine-protein kinase 2,CHEMBL4202,Homo sapiens,22.0,nM,=,7.66,false,CHEMBL491473,Q9H2G2,[ot_genetics_portal],false,false,Kinase,false
CHEMBL24828,33576,CHEMBL1908476,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,100097,Q06187,Tyrosine-protein kinase BTK,CHEMBL5251,Homo sapiens,1700.0,nM,=,5.77,false,CHEMBL24828,Q06187,"[impc, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
CHEMBL67279,103029,CHEMBL2346128,1,LITERATURE,J Med Chem,2.3594271E7,10.1021/jm400351a,11968,P48147,Prolyl endopeptidase,CHEMBL3202,Homo sapiens,73.0,nM,=,7.14,false,CHEMBL67279,P48147,"[impc, ot_genetics_portal]",false,false,Enzyme,true
CHEMBL460702,455596,CHEMBL5212866,65,LIT_EUBOPEN_CGL,,,10.6019/CHEMBL5212743,100948,Q12866,Proto-oncogene tyrosine-protein kinase MER,CHEMBL5331,Homo sapiens,14.0,nM,=,7.85,false,CHEMBL460702,Q12866,"[impc, ot_genetics_portal, chembl]",false,true,Kinase,true
CHEMBL1789941,1153572,CHEMBL1908440,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101484,P29376,Leukocyte tyrosine kinase receptor,CHEMBL5627,Homo sapiens,440.0,nM,=,6.36,false,CHEMBL1789941,P29376,[impc],false,false,Kinase,false
CHEMBL2103875,1376145,CHEMBL4433500,1,LITERATURE,Eur J Med Chem,3.0826508E7,10.1016/j.ejmech.2019.02.050,11409,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3587,Homo sapiens,0.7,nM,=,9.15,false,CHEMBL2103875,Q02750,"[orphanet, intogen, ot_genetics_portal, chemicalProbes, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,true
CHEMBL3039513,1592331,CHEMBL3299319,1,LITERATURE,J Med Chem,2.4417533E7,10.1021/jm401490p,10849,P52333,Tyrosine-protein kinase JAK3,CHEMBL2148,Homo sapiens,1.2,nM,=,8.92,true,CHEMBL3039513,P52333,"[impc, chembl]",false,true,Kinase,true
CHEMBL494089,469313,CHEMBL1908578,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,11969,P17612,cAMP-dependent protein kinase alpha-catalytic subunit,CHEMBL4101,Homo sapiens,19.0,nM,=,7.72,false,CHEMBL494089,P17612,"[chembl, cancer_gene_census]",false,true,Kinase,true
CHEMBL726,36842,CHEMBL1909182,15,DRUGMATRIX,,,,129,P35372,Mu opioid receptor,CHEMBL233,Homo sapiens,8421.0,nM,=,5.08,false,CHEMBL726,P35372,"[impc, chembl]",false,true,GPCR,false
CHEMBL1112,155006,CHEMBL4314362,1,LITERATURE,Eur J Med Chem,3.1586817E7,10.1016/j.ejmech.2019.111736,51,P08908,Serotonin 1a (5-HT1a) receptor,CHEMBL214,Homo sapiens,1.7,nM,=,8.77,true,CHEMBL1112,P08908,"[impc, chembl]",false,true,GPCR,true
CHEMBL598797,603809,CHEMBL1065600,1,LITERATURE,J Med Chem,2.0143778E7,10.1021/jm901453q,100079,P07949,Tyrosine-protein kinase receptor RET,CHEMBL2041,Homo sapiens,3200.0,nM,=,5.5,false,CHEMBL598797,P07949,"[uniprot_literature, impc, eva, orphanet, intogen, gene2phenotype, clingen, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,false
CHEMBL997,110435,CHEMBL924794,1,LITERATURE,J Med Chem,1.8327899E7,10.1021/jm7015733,71,P14324,Farnesyl diphosphate synthase,CHEMBL1782,Homo sapiens,3.6,nM,=,8.44,true,CHEMBL997,P14324,"[ot_genetics_portal, chembl]",false,true,Enzyme,true
CHEMBL411,860,CHEMBL911909,1,LITERATURE,Bioorg Med Chem Lett,1.6962325E7,10.1016/j.bmcl.2006.08.091,102684,Q14376,UDP-glucose 4-epimerase,CHEMBL5843,Homo sapiens,75000.0,nM,=,4.12,false,CHEMBL411,Q14376,[ot_genetics_portal],false,false,Enzyme,false
CHEMBL1055,134333,CHEMBL1029733,1,LITERATURE,Bioorg Med Chem,1.9119014E7,10.1016/j.bmc.2008.12.023,11042,P35218,Carbonic anhydrase VA,CHEMBL4789,Homo sapiens,917.0,nM,=,6.04,false,CHEMBL1055,P35218,[ot_genetics_portal],false,false,Enzyme,true
CHEMBL495727,494066,CHEMBL1009911,1,LITERATURE,J Med Chem,1.9143567E7,10.1021/jm800984v,11926,P22607,Fibroblast growth factor receptor 3,CHEMBL2742,Homo sapiens,10.0,nM,=,8.0,false,CHEMBL495727,P22607,"[uniprot_literature, impc, eva, intogen, ot_genetics_portal, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,true
CHEMBL1502,419598,CHEMBL858329,1,LITERATURE,J Med Chem,1313110.0,10.1021/jm00084a010,104758,P20648,Potassium-transporting ATPase,CHEMBL2095173,Homo sapiens,1000.0,nM,=,6.0,true,CHEMBL1502,P20648,"[impc, chembl]",false,true,Transporter,false
CHEMBL412272,442373,CHEMBL3737332,1,LITERATURE,Eur J Med Chem,2.6435512E7,10.1016/j.ejmech.2015.09.024,100857,Q8TDU6,G-protein coupled bile acid receptor 1,CHEMBL5409,Homo sapiens,680.0,nM,=,6.17,false,CHEMBL412272,Q8TDU6,[ot_genetics_portal],false,false,GPCR,false
CHEMBL482968,520121,CHEMBL981419,1,LITERATURE,J Med Chem,1.9320489E7,10.1021/jm8012129,238,P10721,Stem cell growth factor receptor,CHEMBL1936,Homo sapiens,120.0,nM,=,6.92,true,CHEMBL482968,P10721,"[impc, eva, intogen, ot_genetics_portal, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
CHEMBL1064,138562,CHEMBL4037104,1,LITERATURE,J Med Chem,2.8850227E7,10.1021/acs.jmedchem.7b00315,24,P04035,HMG-CoA reductase,CHEMBL402,Homo sapiens,0.9,nM,=,9.05,true,CHEMBL1064,P04035,"[impc, ot_genetics_portal, chemicalProbes, chembl]",false,true,Enzyme,true
CHEMBL502835,522730,CHEMBL1908435,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,12959,Q32MK0,Myosin light chain kinase,CHEMBL4627,Homo sapiens,110.0,nM,=,6.96,false,CHEMBL502835,Q32MK0,[impc],false,false,Kinase,false
CHEMBL1336,276734,CHEMBL1908435,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,12959,Q32MK0,Myosin light chain kinase,CHEMBL4627,Homo sapiens,9600.0,nM,=,5.02,false,CHEMBL1336,Q32MK0,[impc],false,false,Kinase,false
CHEMBL284348,31289,CHEMBL4009574,1,LITERATURE,J Med Chem,2.8225274E7,10.1021/acs.jmedchem.6b01262,12577,Q09470,Voltage-gated potassium channel subunit Kv1.1,CHEMBL2309,Homo sapiens,89000.0,nM,=,4.05,false,CHEMBL284348,Q09470,"[impc, chembl]",false,true,IC,false
CHEMBL1421,361469,CHEMBL1061079,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,11046,P36507,Dual specificity mitogen-activated protein kinase kinase 2,CHEMBL2964,Homo sapiens,1400.0,nM,=,5.85,false,CHEMBL1421,P36507,"[eva, ot_genetics_portal, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
CHEMBL1908360,1248731,CHEMBL4028921,1,LITERATURE,Toxicol Sci,2.3956101E7,10.1093/toxsci/kft176,102394,O95342,Bile salt export pump,CHEMBL6020,Homo sapiens,2000.0,nM,=,5.7,false,CHEMBL1908360,O95342,[impc],false,false,Transporter,false
CHEMBL3786098,2076851,CHEMBL4178362,1,LITERATURE,J Med Chem,2.828773E7,10.1021/acs.jmedchem.6b01894,102678,P21860,Receptor tyrosine-protein kinase erbB-3,CHEMBL5838,Homo sapiens,21.0,nM,=,7.68,false,CHEMBL3786098,P21860,"[chembl, cancer_gene_census]",false,true,Kinase,false
CHEMBL217092,361444,CHEMBL854976,1,LITERATURE,J Med Chem,1.7064066E7,10.1021/jm060434q,11678,P24941,Cyclin-dependent kinase 2,CHEMBL301,Homo sapiens,10000.0,nM,=,5.0,false,CHEMBL217092,P24941,"[impc, chembl]",false,true,Kinase,false
CHEMBL445,2262,CHEMBL1909172,15,DRUGMATRIX,,,,219,P20309,Muscarinic acetylcholine receptor M3,CHEMBL245,Homo sapiens,36.0,nM,=,7.44,false,CHEMBL445,P20309,"[ot_genetics_portal, chembl]",false,true,GPCR,true
CHEMBL742,38833,CHEMBL4687811,1,LITERATURE,J Med Chem,3.2915563E7,10.1021/acs.jmedchem.0c01193,104298,Q12879,Glutamate NMDA receptor; GRIN1/GRIN2A,CHEMBL1907604,Homo sapiens,180.0,nM,=,6.75,false,CHEMBL742,Q12879,"[uniprot_literature, impc, eva, orphanet, intogen, ot_genetics_portal, gene2phenotype, gene_burden, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,IC,true
CHEMBL288441,62111,CHEMBL1908452,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,20007,Q9NYL2,Mixed lineage kinase 7,CHEMBL3886,Homo sapiens,80.0,nM,=,7.1,false,CHEMBL288441,Q9NYL2,[ot_genetics_portal],false,false,Kinase,false
CHEMBL5095043,2739474,CHEMBL5124487,1,LITERATURE,J Med Chem,3.5608571E7,10.1021/acs.jmedchem.2c00281,105352,Q460N5,Poly [ADP-ribose] polymerase 14,CHEMBL2176777,Homo sapiens,2300.0,nM,=,5.64,false,CHEMBL5095043,Q460N5,[impc],false,false,Enzyme,true
CHEMBL2216870,1448219,CHEMBL4836858,1,LITERATURE,Bioorg Med Chem,3.4332211E7,10.1016/j.bmc.2021.116312,105055,P27986,PI3-kinase p110-alpha/p85-alpha,CHEMBL2111367,Homo sapiens,409.0,nM,=,6.39,false,CHEMBL2216870,P27986,"[impc, eva, intogen, ot_genetics_portal, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
CHEMBL2216870,1448219,CHEMBL4352637,1,LITERATURE,J Med Chem,3.1033293E7,10.1021/acs.jmedchem.8b02014,107936,P27986,PI3K p110 beta/p85 alpha,CHEMBL3038510,Homo sapiens,293.0,nM,=,6.53,false,CHEMBL2216870,P27986,"[impc, eva, intogen, ot_genetics_portal, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
CHEMBL553,14785,CHEMBL3784897,1,LITERATURE,ACS Med Chem Lett,2.6819674E7,10.1021/acsmedchemlett.5b00428,9,P00533,Epidermal growth factor receptor erbB1,CHEMBL203,Homo sapiens,0.1,nM,=,10.0,true,CHEMBL553,P00533,"[uniprot_literature, impc, eva, orphanet, intogen, ot_genetics_portal, clingen, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,true
CHEMBL1173655,650126,CHEMBL1908414,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,11407,P45984,c-Jun N-terminal kinase 2,CHEMBL4179,Homo sapiens,2100.0,nM,=,5.68,false,CHEMBL1173655,P45984,"[impc, chembl]",false,true,Kinase,false
CHEMBL1323,267163,CHEMBL4403306,1,LITERATURE,J Med Chem,3.1505928E7,10.1021/acs.jmedchem.9b00779,11398,P08183,P-glycoprotein 1,CHEMBL4302,Homo sapiens,6600.0,nM,=,5.18,false,CHEMBL1323,P08183,[impc],false,false,Transporter,false
CHEMBL741,38727,CHEMBL954008,1,LITERATURE,Bioorg Med Chem,1.8501613E7,10.1016/j.bmc.2008.05.003,18072,Q99250,Sodium channel protein type II alpha subunit,CHEMBL4187,Homo sapiens,10000.0,nM,=,5.0,false,CHEMBL741,Q99250,"[impc, eva, orphanet, ot_genetics_portal, gene2phenotype, gene_burden, chembl, eva_somatic]",false,true,IC,true
CHEMBL508583,502253,CHEMBL4618056,1,LITERATURE,J Nat Prod,3.2255628E7,10.1021/acs.jnatprod.0c00070,13061,P18031,Protein-tyrosine phosphatase 1B,CHEMBL335,Homo sapiens,1000.0,nM,=,6.0,false,CHEMBL508583,P18031,[impc],false,false,Enzyme,true
CHEMBL1123,165774,CHEMBL806152,1,LITERATURE,J Med Chem,2579237.0,10.1021/jm00381a019,104837,Q99250,"Sodium channel alpha subunits; brain (Types I, II, III)",CHEMBL2096682,Homo sapiens,28000.0,nM,=,4.55,false,CHEMBL1123,Q99250,"[impc, chembl]",false,true,IC,false
CHEMBL607707,604615,CHEMBL1037548,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,101464,O95819,Mitogen-activated protein kinase kinase kinase kinase 4,CHEMBL6166,Homo sapiens,330.0,nM,=,6.48,false,CHEMBL607707,O95819,[eva],false,false,Kinase,false
CHEMBL25202,33589,CHEMBL873431,1,LITERATURE,J Med Chem,9435893.0,10.1021/jm9704309,57,P10276,Retinoic acid receptor alpha,CHEMBL2055,Homo sapiens,6.5,nM,=,8.19,true,CHEMBL25202,P10276,"[chemicalProbes, chembl, cancer_gene_census]",false,true,NR,true
CHEMBL1464,394165,CHEMBL1777138,1,LITERATURE,J Med Chem,2.1438527E7,10.1021/jm1008924,10697,P02768,Serum albumin,CHEMBL3253,Homo sapiens,2000.0,nM,=,5.7,false,CHEMBL1464,P02768,"[impc, ot_genetics_portal, gene_burden, eva_somatic]",false,false,None,true
CHEMBL231813,394996,CHEMBL2208620,1,LITERATURE,J Med Chem,2.1413808E7,10.1021/jm1013693,10378,P07858,Cathepsin B,CHEMBL4072,Homo sapiens,210.0,nM,=,6.68,false,CHEMBL231813,P07858,[ot_genetics_portal],false,false,Enzyme,true
CHEMBL3989870,2197741,CHEMBL4352754,1,LITERATURE,J Med Chem,3.1074988E7,10.1021/acs.jmedchem.9b00426,238,P10721,Stem cell growth factor receptor,CHEMBL1936,Homo sapiens,39.0,nM,=,7.41,false,CHEMBL3989870,P10721,"[uniprot_literature, impc, eva, orphanet, intogen, ot_genetics_portal, clingen, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,false
CHEMBL572878,436277,CHEMBL1063801,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,10938,O60674,Tyrosine-protein kinase JAK2,CHEMBL2971,Homo sapiens,190.0,nM,=,6.72,false,CHEMBL572878,O60674,"[uniprot_literature, impc, eva, intogen, ot_genetics_portal, gene_burden, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,false
CHEMBL607707,604615,CHEMBL1063715,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,101188,Q8IVH8,Mitogen-activated protein kinase kinase kinase kinase 3,CHEMBL5432,Homo sapiens,170.0,nM,=,6.77,false,CHEMBL607707,Q8IVH8,[impc],false,false,Kinase,false
CHEMBL1336,276734,CHEMBL1062788,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,100951,Q13470,Non-receptor tyrosine-protein kinase TNK1,CHEMBL5334,Homo sapiens,2300.0,nM,=,5.64,false,CHEMBL1336,Q13470,[impc],false,false,Kinase,false
CHEMBL2016893,1334612,CHEMBL2020582,1,LITERATURE,Bioorg Med Chem Lett,2.2450127E7,10.1016/j.bmcl.2012.03.011,12944,P23443,Ribosomal protein S6 kinase 1,CHEMBL4501,Homo sapiens,2.0,nM,=,8.7,false,CHEMBL2016893,P23443,"[ot_genetics_portal, chembl]",false,true,Kinase,true
CHEMBL806,52087,CHEMBL3528578,1,LITERATURE,Drug Metab Dispos,2.244652E7,10.1124/dmd.112.044537,11507,O00748,Carboxylesterase 2,CHEMBL3180,Homo sapiens,2300.0,nM,=,5.64,false,CHEMBL806,O00748,[impc],false,false,Enzyme,true
CHEMBL598797,603809,CHEMBL1065588,1,LITERATURE,J Med Chem,2.0143778E7,10.1021/jm901453q,11797,Q9UKV0,Histone deacetylase 9,CHEMBL4145,Homo sapiens,67.2,nM,=,7.17,false,CHEMBL598797,Q9UKV0,"[ot_genetics_portal, chembl]",false,true,Epigenetic,true
CHEMBL598797,603809,CHEMBL3881963,38,PATENT,,,,104681,Q9UKV0,Histone deacetylase,CHEMBL2093865,Homo sapiens,4.4,nM,=,8.36,true,CHEMBL598797,Q9UKV0,"[ot_genetics_portal, chembl]",false,true,Epigenetic,true
CHEMBL941,88797,CHEMBL5216307,1,LITERATURE,Eur J Med Chem,3.5696863E7,10.1016/j.ejmech.2022.114502,188,P04626,Receptor protein-tyrosine kinase erbB-2,CHEMBL1824,Homo sapiens,0.06,nM,=,10.22,false,CHEMBL941,P04626,"[impc, eva, intogen, ot_genetics_portal, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,true
CHEMBL1336,276734,CHEMBL990556,1,LITERATURE,Proc Natl Acad Sci U S A,1.8077425E7,10.1073/pnas.0707498104,10120,Q15759,MAP kinase p38 beta,CHEMBL3961,Homo sapiens,200.0,nM,=,6.7,false,CHEMBL1336,Q15759,"[ot_genetics_portal, chembl]",false,true,Kinase,false
CHEMBL1738797,1117844,CHEMBL5128711,1,LITERATURE,Eur J Med Chem,3.5483322E7,10.1016/j.ejmech.2022.114346,100974,Q9UNQ0,ATP-binding cassette sub-family G member 2,CHEMBL5393,Homo sapiens,1500.0,nM,=,5.82,false,CHEMBL1738797,Q9UNQ0,"[impc, ot_genetics_portal]",false,false,Transporter,false
CHEMBL482968,520121,CHEMBL4315061,1,LITERATURE,Eur J Med Chem,3.1614258E7,10.1016/j.ejmech.2019.111710,12840,P07333,Macrophage colony stimulating factor receptor,CHEMBL1844,Homo sapiens,10.0,nM,=,8.0,true,CHEMBL482968,P07333,"[impc, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,true
CHEMBL1533310,957194,CHEMBL2166519,1,LITERATURE,J Med Chem,2.2216892E7,10.1021/jm201128q,102,P25021,Histamine H2 receptor,CHEMBL1941,Homo sapiens,1258.93,nM,=,5.9,false,CHEMBL1533310,P25021,"[impc, chembl]",false,true,GPCR,false
CHEMBL608533,608601,CHEMBL1908747,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10842,Q16513,Protein kinase N2,CHEMBL3032,Homo sapiens,15.0,nM,=,7.82,false,CHEMBL608533,Q16513,[impc],false,false,Kinase,true
CHEMBL124660,205165,CHEMBL1051304,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,197,P09619,Platelet-derived growth factor receptor beta,CHEMBL1913,Homo sapiens,4.5,nM,=,8.35,true,CHEMBL124660,P09619,"[uniprot_literature, impc, chembl, cancer_gene_census]",false,true,Kinase,true
CHEMBL475534,453570,CHEMBL806152,1,LITERATURE,J Med Chem,2579237.0,10.1021/jm00381a019,104837,P35498,"Sodium channel alpha subunits; brain (Types I, II, III)",CHEMBL2096682,Homo sapiens,36000.0,nM,=,4.44,false,CHEMBL475534,P35498,"[uniprot_literature, impc, eva, orphanet, clingen, chembl, uniprot_variants]",false,true,IC,false
CHEMBL1789941,1153572,CHEMBL1908663,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101281,O15075,Serine/threonine-protein kinase DCLK1,CHEMBL5683,Homo sapiens,68.0,nM,=,7.17,false,CHEMBL1789941,O15075,[impc],false,false,Kinase,false
CHEMBL325041,187372,CHEMBL933247,1,LITERATURE,J Med Chem,1.8247547E7,10.1021/jm7010589,10494,P08311,Cathepsin G,CHEMBL4071,Homo sapiens,520.0,nM,=,6.28,false,CHEMBL325041,P08311,[impc],false,false,Enzyme,true
CHEMBL1721885,1102616,CHEMBL1063802,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,100140,P27448,Serine/threonine-protein kinase c-TAK1,CHEMBL5600,Homo sapiens,1100.0,nM,=,5.96,false,CHEMBL1721885,P27448,[ot_genetics_portal],false,false,Kinase,false
