chembl_id,molregno,tid,accession,pref_name,target_chembl_id,min_standard_value,standard_units,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget
CHEMBL1535,429737,103,P25100,Alpha-1d adrenergic receptor,CHEMBL223,2346.0,nM,CHEMBL1535,P25100,chembl,false,true
CHEMBL1541,430642,104066,Q16348,Solute carrier family 15 member 2,CHEMBL1743125,2570395.78,nM,CHEMBL1541,Q16348,impc,false,false
CHEMBL15891,16654,104703,P14867,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL2094121,21.0,nM,CHEMBL15891,P14867,chembl,false,true
CHEMBL15891,16654,117114,P14867,Gamma-aminobutyric acid receptor subunit alpha-1/ beta-1,CHEMBL3885570,112.0,nM,CHEMBL15891,P14867,chembl,false,true
CHEMBL15891,16654,117721,P14867,GABA-A receptor alpha-1/beta-3,CHEMBL4106151,12.0,nM,CHEMBL15891,P14867,chembl,false,true
CHEMBL15891,16654,105087,P14867,GABA A receptor alpha-1/beta-1/gamma-2,CHEMBL2111392,67.0,nM,CHEMBL15891,P14867,chembl,false,true
CHEMBL1589763,1013647,214,P08173,Muscarinic acetylcholine receptor M4,CHEMBL1821,95.0,nM,CHEMBL1589763,P08173,chemicalProbes,false,false
CHEMBL159,71516,104766,Q6PEY2,Tubulin,CHEMBL2095182,70.0,nM,CHEMBL159,Q6PEY2,chembl,false,true
CHEMBL16,921,104801,Q13936,Voltage-gated L-type calcium channel,CHEMBL2095229,21900.0,nM,CHEMBL16,Q13936,"eva,ot_genetics_portal,chembl",false,true
CHEMBL16,921,169,Q13936,Voltage-gated L-type calcium channel alpha-1C subunit,CHEMBL1940,125000.0,nM,CHEMBL16,Q13936,"eva,ot_genetics_portal,chembl",false,true
CHEMBL16,921,11480,Q14524,Sodium channel protein type V alpha subunit,CHEMBL1980,49000.0,nM,CHEMBL16,Q14524,"impc,chembl",false,true
CHEMBL1628227,1051118,12866,P22310,UDP-glucuronosyltransferase 1A4,CHEMBL3619,70.0,pm/min/mg,CHEMBL1628227,P22310,ot_genetics_portal,false,false
CHEMBL1648,486789,103947,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,CHEMBL1697668,47.5,%,CHEMBL1648,Q9Y6L6,ot_genetics_portal,false,false
CHEMBL165,103658,73,P14679,Tyrosinase,CHEMBL1973,1700.0,nM,CHEMBL165,P14679,"impc,eva,ot_genetics_portal",false,false
CHEMBL165,103658,73,P14679,Tyrosinase,CHEMBL1973,36.2,%,CHEMBL165,P14679,"impc,eva,ot_genetics_portal",false,false
CHEMBL1729,557741,104784,P28223,Serotonin 2 (5-HT2) receptor,CHEMBL2095200,6.1,nM,CHEMBL1729,P28223,"impc,chembl",false,true
CHEMBL1729,557741,107,P28223,Serotonin 2a (5-HT2a) receptor,CHEMBL224,1.102,nM,CHEMBL1729,P28223,"impc,chembl",false,true
CHEMBL180022,299120,35,P06213,Insulin receptor,CHEMBL1981,290.0,nM,CHEMBL180022,P06213,"impc,chembl",false,true
CHEMBL180022,299120,11691,P51451,Tyrosine-protein kinase BLK,CHEMBL2250,85.0,nM,CHEMBL180022,P51451,"impc,ot_genetics_portal,chembl",false,true
CHEMBL181361,306783,13004,P36897,TGF-beta receptor type I,CHEMBL4439,20.0,nM,CHEMBL181361,P36897,chemicalProbes,false,false
CHEMBL190,381693,101624,P05186,"Alkaline phosphatase, tissue-nonspecific isozyme",CHEMBL5979,82000.0,nM,CHEMBL190,P05186,"impc,ot_genetics_portal",false,false
CHEMBL190461,318390,100194,Q02083,N-acylsphingosine-amidohydrolase,CHEMBL4349,47.2,%,CHEMBL190461,Q02083,impc,false,false
CHEMBL2,97,104837,Q99250,"Sodium channel alpha subunits; brain (Types I, II, III)",CHEMBL2096682,58.6,%,CHEMBL2,Q99250,chembl,false,true
CHEMBL2,97,104837,Q99250,"Sodium channel alpha subunits; brain (Types I, II, III)",CHEMBL2096682,10100.0,nM,CHEMBL2,Q99250,chembl,false,true
CHEMBL2024517,1339907,130,P35462,Dopamine D3 receptor,CHEMBL234,0.09,nM,CHEMBL2024517,P35462,"uniprot_literature,chembl",false,true
CHEMBL2151205,1421870,104717,Q8WW43,Gamma-secretase,CHEMBL2094135,17.0,nM,CHEMBL2151205,Q8WW43,"ot_genetics_portal,chembl",false,true
CHEMBL217899,365916,10599,Q07343,Phosphodiesterase 4B,CHEMBL275,13.0,nM,CHEMBL217899,Q07343,chembl,false,true
CHEMBL2180727,1441545,104483,O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,CHEMBL2007625,0.4,%,CHEMBL2180727,O75874,chemicalProbes,true,false
CHEMBL2180727,1441545,104483,O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,CHEMBL2007625,20.0,nM,CHEMBL2180727,O75874,chemicalProbes,true,false
CHEMBL23261,30255,104833,P25101,"Endothelin receptor, ET-A/ET-B",CHEMBL2096678,19.0,ml,CHEMBL23261,P25101,"ot_genetics_portal,chembl",false,true
CHEMBL23261,30255,249,P25101,Endothelin receptor ET-A,CHEMBL252,0.8,nM,CHEMBL23261,P25101,"ot_genetics_portal,chembl",false,true
CHEMBL2443262,1589794,137,P41145,Kappa opioid receptor,CHEMBL237,1400.0,nM,CHEMBL2443262,P41145,chembl,false,true
CHEMBL25,1280,10260,Q8NER1,Vanilloid receptor,CHEMBL4794,84.0,%,CHEMBL25,Q8NER1,chembl,false,true
CHEMBL253710,422134,11473,P78536,ADAM17,CHEMBL3706,3.0,nM,CHEMBL253710,P78536,chemicalProbes,false,false
CHEMBL258940,430493,11678,P24941,Cyclin-dependent kinase 2,CHEMBL301,0.1,degrees C,CHEMBL258940,P24941,"impc,chembl",false,true
CHEMBL27,1370,11398,P08183,P-glycoprotein 1,CHEMBL4302,48000.0,nM,CHEMBL27,P08183,"impc,chembl",false,true
CHEMBL27,1370,11398,P08183,P-glycoprotein 1,CHEMBL4302,496.0,nm/s,CHEMBL27,P08183,"impc,chembl",false,true
CHEMBL275638,18145,104688,P47870,GABA-A receptor; anion channel,CHEMBL2093872,17.0,nM,CHEMBL275638,P47870,chembl,false,true
CHEMBL276711,12911,19623,P51617,Interleukin-1 receptor-associated kinase 1,CHEMBL3357,75.0,%,CHEMBL276711,P51617,intogen,false,false
CHEMBL288441,62111,101188,Q8IVH8,Mitogen-activated protein kinase kinase kinase kinase 3,CHEMBL5432,5.1,nM,CHEMBL288441,Q8IVH8,impc,false,false
CHEMBL296419,65605,50,P08588,Beta-1 adrenergic receptor,CHEMBL213,10037.0,nM,CHEMBL296419,P08588,chembl,false,true
CHEMBL3040440,1593251,30024,Q13043,Serine/threonine-protein kinase MST1,CHEMBL4598,5.92,C,CHEMBL3040440,Q13043,impc,false,false
CHEMBL310671,129777,11060,P43166,Carbonic anhydrase VII,CHEMBL2326,10.0,nM,CHEMBL310671,P43166,chembl,false,true
CHEMBL325041,187372,116833,A5LHX3,20S proteasome,CHEMBL3831201,6.91,nM,CHEMBL325041,A5LHX3,"impc,chembl",false,true
CHEMBL325041,187372,106197,A5LHX3,26S proteasome,CHEMBL2364701,2.56,nM,CHEMBL325041,A5LHX3,"impc,chembl",false,true
CHEMBL3298371,1762708,10918,Q08881,Tyrosine-protein kinase ITK/TSK,CHEMBL2959,0.7,nM,CHEMBL3298371,Q08881,chemicalProbes,true,false
CHEMBL3298371,1762708,10918,Q08881,Tyrosine-protein kinase ITK/TSK,CHEMBL2959,98.0,%,CHEMBL3298371,Q08881,chemicalProbes,true,false
CHEMBL3301610,1763572,234,P08069,Insulin-like growth factor I receptor,CHEMBL1957,14.0,%,CHEMBL3301610,P08069,"impc,chembl",false,true
CHEMBL3301610,1763572,100098,P30291,Serine/threonine-protein kinase WEE1,CHEMBL5491,5.5,%,CHEMBL3301610,P30291,"ot_genetics_portal,chembl",false,true
CHEMBL3318586,1783233,109456,Q99884,Sodium-dependent proline transporter,CHEMBL3317335,18.0,nM,CHEMBL3318586,Q99884,chemicalProbes,true,false
CHEMBL3342492,1794636,12209,O43570,Carbonic anhydrase XII,CHEMBL3242,0.67,nM,CHEMBL3342492,O43570,chemicalProbes,false,false
CHEMBL3356008,1820142,103430,O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,CHEMBL1163101,22.0,nM,CHEMBL3356008,O75460,chemicalProbes,false,false
CHEMBL336786,223486,11473,P78536,ADAM17,CHEMBL3706,6.0,nM,CHEMBL336786,P78536,chemicalProbes,false,false
CHEMBL3408390,1835147,12967,O14757,Serine/threonine-protein kinase Chk1,CHEMBL4630,11.89,nM,CHEMBL3408390,O14757,chemicalProbes,false,false
CHEMBL3408390,1835147,12967,O14757,Serine/threonine-protein kinase Chk1,CHEMBL4630,100.0,%,CHEMBL3408390,O14757,chemicalProbes,false,false
CHEMBL3408947,1835710,17045,P08684,Cytochrome P450 3A4,CHEMBL340,3100.0,nM,CHEMBL3408947,P08684,chembl,false,true
CHEMBL3545360,1927209,8,P00519,Tyrosine-protein kinase ABL,CHEMBL1862,4.48,C,CHEMBL3545360,P00519,"impc,eva,intogen,chembl,eva_somatic,cancer_gene_census",false,true
CHEMBL3609305,1960167,10907,P53350,Serine/threonine-protein kinase PLK1,CHEMBL3024,0.42,nM,CHEMBL3609305,P53350,chemicalProbes,false,false
CHEMBL3622533,1966216,109654,Q13547,Histone deacetylase 1/2/3,CHEMBL3430897,126.25,nM,CHEMBL3622533,Q13547,chembl,false,true
CHEMBL3622533,1966216,104681,Q13547,Histone deacetylase,CHEMBL2093865,92.0,%,CHEMBL3622533,Q13547,chembl,false,true
CHEMBL3622533,1966216,104681,Q13547,Histone deacetylase,CHEMBL2093865,6.8,nM,CHEMBL3622533,Q13547,chembl,false,true
CHEMBL3622533,1966216,12697,Q13547,Histone deacetylase 1,CHEMBL325,0.36,nM,CHEMBL3622533,Q13547,chembl,false,true
CHEMBL3746559,2057037,11409,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3587,14.0,nM,CHEMBL3746559,Q02750,chemicalProbes,false,false
CHEMBL38,2208,10656,P05067,Beta amyloid A4 protein,CHEMBL2487,180.0,nM,CHEMBL38,P05067,impc,false,false
CHEMBL3823543,2093228,10434,P12931,Tyrosine-protein kinase SRC,CHEMBL267,3.5,nM,CHEMBL3823543,P12931,chemicalProbes,false,false
CHEMBL38380,50822,101078,Q16659,Mitogen-activated protein kinase 6,CHEMBL5121,0.2,degrees C,CHEMBL38380,Q16659,impc,false,false
CHEMBL386630,364520,104089,P0DTE4,UDP-glucuronosyltransferase 2A1,CHEMBL1743321,207.0,pm/min/mg,CHEMBL386630,P0DTE4,ot_genetics_portal,false,false
CHEMBL3928407,2137778,12576,P42338,PI3-kinase p110-beta subunit,CHEMBL3145,42.0,nM,CHEMBL3928407,P42338,"chembl,cancer_gene_census",false,true
CHEMBL3928407,2137778,107936,P42338,PI3K p110 beta/p85 alpha,CHEMBL3038510,100.0,nM,CHEMBL3928407,P42338,"chembl,cancer_gene_census",false,true
CHEMBL403812,425656,12697,Q13547,Histone deacetylase 1,CHEMBL325,50.12,nM,CHEMBL403812,Q13547,chemicalProbes,false,false
CHEMBL4059888,2199799,19,P03372,Estrogen receptor alpha,CHEMBL206,0.24,nM,CHEMBL4059888,P03372,"chembl,cancer_gene_census",false,true
CHEMBL4059888,2199799,19,P03372,Estrogen receptor alpha,CHEMBL206,27.5,%,CHEMBL4059888,P03372,"chembl,cancer_gene_census",false,true
CHEMBL406,619,11042,P35218,Carbonic anhydrase VA,CHEMBL4789,6.96,nM,CHEMBL406,P35218,ot_genetics_portal,false,false
CHEMBL407,635,104688,Q99928,GABA-A receptor; anion channel,CHEMBL2093872,0.9,nM,CHEMBL407,Q99928,chembl,false,true
CHEMBL4071161,2211072,109099,Q9HCN6,Platelet glycoprotein VI (GPVI),CHEMBL3308912,1200.0,nM,CHEMBL4071161,Q9HCN6,impc,false,false
CHEMBL408,666,133,P37231,Peroxisome proliferator-activated receptor gamma,CHEMBL235,3.16,uM,CHEMBL408,P37231,"impc,eva,ot_genetics_portal,chembl,cancer_gene_census",false,true
CHEMBL408,666,133,P37231,Peroxisome proliferator-activated receptor gamma,CHEMBL235,200.0,nM,CHEMBL408,P37231,"impc,eva,ot_genetics_portal,chembl,cancer_gene_census",false,true
CHEMBL408,666,133,P37231,Peroxisome proliferator-activated receptor gamma,CHEMBL235,3.16,fold,CHEMBL408,P37231,"impc,eva,ot_genetics_portal,chembl,cancer_gene_census",false,true
CHEMBL408,666,133,P37231,Peroxisome proliferator-activated receptor gamma,CHEMBL235,79.0,%,CHEMBL408,P37231,"impc,eva,ot_genetics_portal,chembl,cancer_gene_census",false,true
CHEMBL413,923,100127,P09769,Tyrosine-protein kinase FGR,CHEMBL4454,98.0,%,CHEMBL413,P09769,"impc,chembl",false,true
CHEMBL413,923,11617,P24723,Protein kinase C eta,CHEMBL3616,76.0,%,CHEMBL413,P24723,"impc,ot_genetics_portal,chembl",false,true
CHEMBL413,923,101269,Q8TDC3,BR serine/threonine-protein kinase 1,CHEMBL5650,68.0,%,CHEMBL413,Q8TDC3,ot_genetics_portal,false,false
CHEMBL41355,61945,105510,O43525,"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3)",CHEMBL2221348,99.0,%,CHEMBL41355,O43525,"impc,eva,orphanet,chembl",false,true
CHEMBL41355,61945,105510,O43525,"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3)",CHEMBL2221348,430.0,nM,CHEMBL41355,O43525,"impc,eva,orphanet,chembl",false,true
CHEMBL41355,61945,117024,O43525,Voltage-gated potassium channel KCNQ3/KCNQ5,CHEMBL3883311,0.34,uM,CHEMBL41355,O43525,"impc,eva,orphanet,chembl",false,true
CHEMBL41355,61945,12992,O43525,Voltage-gated potassium channel subunit Kv7.3,CHEMBL2684,3900.0,nM,CHEMBL41355,O43525,"impc,eva,orphanet,chembl",false,true
CHEMBL41355,61945,105510,O43525,"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3)",CHEMBL2221348,0.32,uM,CHEMBL41355,O43525,"impc,eva,orphanet,chembl",false,true
CHEMBL41355,61945,105510,O43525,"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3)",CHEMBL2221348,-26.81,mV,CHEMBL41355,O43525,"impc,eva,orphanet,chembl",false,true
CHEMBL41355,61945,12992,O43525,Voltage-gated potassium channel subunit Kv7.3,CHEMBL2684,-39.88,mV,CHEMBL41355,O43525,"impc,eva,orphanet,chembl",false,true
CHEMBL4208229,2286380,118368,Q96SW2,Cereblon/BCR/ABL,CHEMBL4296137,5.8,nM,CHEMBL4208229,Q96SW2,"impc,ot_genetics_portal,chembl,eva_somatic",false,true
CHEMBL4282264,2321712,101310,Q92793,CREB-binding protein,CHEMBL5747,61.0,nM,CHEMBL4282264,Q92793,chemicalProbes,true,false
CHEMBL428647,8062,104766,Q13509,Tubulin,CHEMBL2095182,41.1,%,CHEMBL428647,Q13509,"orphanet,ot_genetics_portal,chemicalProbes,chembl",true,true
CHEMBL428647,8062,10893,Q13509,Tubulin beta-3 chain,CHEMBL2597,7.7,nM,CHEMBL428647,Q13509,"orphanet,ot_genetics_portal,chemicalProbes,chembl",true,true
CHEMBL428647,8062,104766,Q13509,Tubulin,CHEMBL2095182,4.6,nM,CHEMBL428647,Q13509,"orphanet,ot_genetics_portal,chemicalProbes,chembl",true,true
CHEMBL428647,8062,104766,Q13509,Tubulin,CHEMBL2095182,0.5,uM,CHEMBL428647,Q13509,"orphanet,ot_genetics_portal,chemicalProbes,chembl",true,true
CHEMBL4297598,2335569,100643,P14902,"Indoleamine 2,3-dioxygenase",CHEMBL4685,0.5,nM,CHEMBL4297598,P14902,chembl,false,true
CHEMBL44,2658,10839,P11309,Serine/threonine-protein kinase PIM1,CHEMBL2147,65.0,%,CHEMBL44,P11309,"intogen,chembl,cancer_gene_census",false,true
CHEMBL44,2658,10839,P11309,Serine/threonine-protein kinase PIM1,CHEMBL2147,3.3,degrees C,CHEMBL44,P11309,"intogen,chembl,cancer_gene_census",false,true
CHEMBL4442620,2349629,10980,P35968,Vascular endothelial growth factor receptor 2,CHEMBL279,163.0,nM,CHEMBL4442620,P35968,"uniprot_literature,intogen,ot_genetics_portal,chembl,uniprot_variants,eva_somatic,cancer_gene_census",false,true
CHEMBL4446357,2353366,107898,P11802,CDK4/Cyclin D3,CHEMBL3038472,1.37,nM,CHEMBL4446357,P11802,"chembl,cancer_gene_census",false,true
CHEMBL445,2262,103,P25100,Alpha-1d adrenergic receptor,CHEMBL223,134.0,nM,CHEMBL445,P25100,chembl,false,true
CHEMBL4462530,2369539,12828,Q00526,Cyclin-dependent kinase 3,CHEMBL4442,23.0,nM,CHEMBL4462530,Q00526,chembl,false,true
CHEMBL45816,72035,104801,Q01668,Voltage-gated L-type calcium channel,CHEMBL2095229,156.0,nM,CHEMBL45816,Q01668,"uniprot_literature,impc,eva,orphanet,ot_genetics_portal,gene2phenotype,clingen,chembl,cancer_gene_census",false,true
CHEMBL460074,450549,10434,P12931,Tyrosine-protein kinase SRC,CHEMBL267,1.29,nM,CHEMBL460074,P12931,chemicalProbes,false,false
CHEMBL460702,455596,8,P00519,Tyrosine-protein kinase ABL,CHEMBL1862,35.0,%,CHEMBL460702,P00519,"impc,eva,intogen,chembl,eva_somatic,cancer_gene_census",false,true
CHEMBL47050,66843,127,P35367,Histamine H1 receptor,CHEMBL231,1000.0,nM,CHEMBL47050,P35367,chembl,false,true
CHEMBL47050,66843,127,P35367,Histamine H1 receptor,CHEMBL231,84.0,%,CHEMBL47050,P35367,chembl,false,true
CHEMBL470798,517097,12697,Q13547,Histone deacetylase 1,CHEMBL325,28.0,nM,CHEMBL470798,Q13547,chemicalProbes,false,false
CHEMBL475534,453570,101311,Q92887,Canalicular multispecific organic anion transporter 1,CHEMBL5748,224.0,%,CHEMBL475534,Q92887,"impc,eva",false,false
CHEMBL48361,75302,104788,P07477,Trypsin,CHEMBL2095204,50.0,nM,CHEMBL48361,P07477,impc,false,false
CHEMBL50,3666,101332,O60285,NUAK family SNF1-like kinase 1,CHEMBL5784,5090.0,nM,CHEMBL50,O60285,ot_genetics_portal,false,false
CHEMBL50,3666,104725,P23219,Cyclooxygenase,CHEMBL2094253,13.0,%,CHEMBL50,P23219,chembl,false,true
CHEMBL50,3666,96,P23219,Cyclooxygenase-1,CHEMBL221,90.0,%,CHEMBL50,P23219,chembl,false,true
CHEMBL50,3666,103700,Q9HC97,G-protein coupled receptor 35,CHEMBL1293267,40.0,picometer,CHEMBL50,Q9HC97,impc,false,false
CHEMBL50,3666,103700,Q9HC97,G-protein coupled receptor 35,CHEMBL1293267,5930.0,nM,CHEMBL50,Q9HC97,impc,false,false
CHEMBL502835,522730,11209,P42684,Tyrosine-protein kinase ABL2,CHEMBL4014,2000.0,nM,CHEMBL502835,P42684,"intogen,ot_genetics_portal,cancer_gene_census",false,false
CHEMBL502835,522730,30001,Q7KZI7,MAP/microtubule affinity-regulating kinase 2,CHEMBL3831,1400.0,nM,CHEMBL502835,Q7KZI7,"impc,intogen",false,false
CHEMBL511142,446784,137,P41145,Kappa opioid receptor,CHEMBL237,0.0,%,CHEMBL511142,P41145,chembl,false,true
CHEMBL511142,446784,137,P41145,Kappa opioid receptor,CHEMBL237,0.067,nM,CHEMBL511142,P41145,chembl,false,true
CHEMBL51149,78582,104837,P35498,"Sodium channel alpha subunits; brain (Types I, II, III)",CHEMBL2096682,3600.0,nM,CHEMBL51149,P35498,"uniprot_literature,impc,eva,orphanet,clingen,chembl,uniprot_variants",false,true
CHEMBL51149,78582,104837,P35498,"Sodium channel alpha subunits; brain (Types I, II, III)",CHEMBL2096682,67.1,%,CHEMBL51149,P35498,"uniprot_literature,impc,eva,orphanet,clingen,chembl,uniprot_variants",false,true
CHEMBL513909,490644,100417,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,160.0,nM,CHEMBL513909,Q9UM73,"impc,eva,intogen,clingen,chembl,eva_somatic,uniprot_variants,cancer_gene_census",false,true
CHEMBL513909,490644,100417,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,0.3,%,CHEMBL513909,Q9UM73,"impc,eva,intogen,clingen,chembl,eva_somatic,uniprot_variants,cancer_gene_census",false,true
CHEMBL518661,448560,12967,O14757,Serine/threonine-protein kinase Chk1,CHEMBL4630,10.0,nM,CHEMBL518661,O14757,chemicalProbes,false,false
CHEMBL522892,494834,100410,P30530,Tyrosine-protein kinase receptor UFO,CHEMBL4895,3800.0,nM,CHEMBL522892,P30530,chembl,false,true
CHEMBL522892,494834,100410,P30530,Tyrosine-protein kinase receptor UFO,CHEMBL4895,67.0,%,CHEMBL522892,P30530,chembl,false,true
CHEMBL535,13048,9,P00533,Epidermal growth factor receptor erbB1,CHEMBL203,31.8,nM,CHEMBL535,P00533,"uniprot_literature,impc,eva,intogen,ot_genetics_portal,clingen,chembl,eva_somatic,cancer_gene_census",false,true
CHEMBL535,13048,100974,Q9UNQ0,ATP-binding cassette sub-family G member 2,CHEMBL5393,3000.0,nM,CHEMBL535,Q9UNQ0,"impc,ot_genetics_portal",false,false
CHEMBL56564,88800,104714,P46098,Serotonin 3 (5-HT3) receptor,CHEMBL2094132,0.0014,mg.kg-1,CHEMBL56564,P46098,chembl,false,true
CHEMBL56564,88800,144,P46098,Serotonin 3a (5-HT3a) receptor,CHEMBL1899,2.7,nM,CHEMBL56564,P46098,chembl,false,true
CHEMBL56564,88800,104714,P46098,Serotonin 3 (5-HT3) receptor,CHEMBL2094132,0.02512,nM,CHEMBL56564,P46098,chembl,false,true
CHEMBL56564,88800,104714,Q8WXA8,Serotonin 3 (5-HT3) receptor,CHEMBL2094132,0.02512,nM,CHEMBL56564,Q8WXA8,chembl,false,true
CHEMBL56564,88800,104714,Q8WXA8,Serotonin 3 (5-HT3) receptor,CHEMBL2094132,0.0014,mg.kg-1,CHEMBL56564,Q8WXA8,chembl,false,true
CHEMBL572878,436277,12683,Q15118,Pyruvate dehydrogenase kinase isoform 1,CHEMBL4766,29.1,%,CHEMBL572878,Q15118,"ot_genetics_portal,chembl",false,true
CHEMBL572881,568338,30006,O94804,Serine/threonine-protein kinase 10,CHEMBL3981,1100.0,nM,CHEMBL572881,O94804,"uniprot_literature,ot_genetics_portal,uniprot_variants",false,false
CHEMBL59132,89975,133,P37231,Peroxisome proliferator-activated receptor gamma,CHEMBL235,3.162,nM,CHEMBL59132,P37231,chemicalProbes,false,false
CHEMBL59132,89975,133,P37231,Peroxisome proliferator-activated receptor gamma,CHEMBL235,61.0,%,CHEMBL59132,P37231,chemicalProbes,false,false
CHEMBL601719,602271,100413,Q16620,Neurotrophic tyrosine kinase receptor type 2,CHEMBL4898,99.7,%,CHEMBL601719,Q16620,"impc,chembl",false,true
CHEMBL601719,602271,100413,Q16620,Neurotrophic tyrosine kinase receptor type 2,CHEMBL4898,2.0,nM,CHEMBL601719,Q16620,"impc,chembl",false,true
