accession,proteinClass
Q8N4M1,Transporter
Q8WY07,Transporter
Q05D32,Enzyme
Q8NEC5,IC
Q86XQ3,IC
Q99895,Enzyme
Q9H7T0,None
Q86XM0,None
P61568,None
Q9NX77,None
O71037,None
P61570,None
Q9HDB8,None
Q9UKH3,None
Q7Z7A3,None
Q03111,None
P0C2S0,None
Q6XXX2,None
A6NIU2,None
A6NM66,None
Q9NYP8,None
Q9H467,None
Q93034,None
O00574,GPCR
Q07325,None
Q9UKL4,None
P25024,GPCR
Q8NBI2,None
Q49AR2,None
P06493,Kinase
Q96MH7,None
Q15517,None
Q92903,Enzyme
Q9C0D2,None
P19835,Enzyme
Q03188,None
Q6IPU0,None
Q92879,None
Q9H3R5,None
Q68CQ4,None
P49450,None
Q9BZC1,None
Q9Y592,None
Q71F23,None
Q6ZMG9,TF
Q5T699,None
Q96MT4,None
Q6ZU64,None
Q5JQF7,None
P11597,None
P57076,None
Q9P2B7,None
Q9H8W2,None
Q0VF96,None
Q9UL16,None
P36222,Enzyme
Q8WYQ3,None
Q9BQ75,None
Q8N1G2,Enzyme
Q86XI2,None
Q8N3K9,None
Q96KN2,Enzyme
Q86U02,None
Q16281,IC
Q8WXI2,Enzyme
Q8NE01,None
Q9H9A5,None
Q99439,None
Q15417,None
Q96LI5,None
A5YKK6,None
Q9Y2B0,None
Q9NZN8,None
O94779,None
Q9H4B8,Enzyme
P34972,GPCR
Q92782,Epigenetic
P26441,None
Q96EV8,None
P20674,Enzyme
Q8TEA8,Enzyme
Q96FN9,Enzyme
P10176,Enzyme
A6NNT2,None
Q6P387,None
Q7Z3J2,None
P05108,Enzyme
A8MZG2,None
Q8N4C9,None
Q9HBI6,Enzyme
A8MV24,None
Q9HCS2,None
Q9HCH3,None
Q9H799,None
P04632,None
P24903,None
P78329,Enzyme
P24462,Enzyme
A8MQB3,None
Q8TAV3,None
Q86W10,None
Q8NE35,None
Q6PUV4,None
P50416,Enzyme
Q17RY0,None
A0A087X1C5,None
Q5TCH4,None
P53673,None
P78560,None
Q9H0B8,None
Q86T23,None
Q8IUI8,None
A0A140G945,None
Q9Y2S2,Enzyme
Q15006,None
P04141,None
Q8NEV1,Kinase
Q8WXD9,None
O14936,Kinase
P41240,Kinase
Q9UFG5,None
P30825,Transporter
O43246,Transporter
Q96P56,IC
P40313,Enzyme
Q9N2J8,None
Q6UWT2,None
Q5SY80,None
P61565,None
P61566,None
Q9NWM3,None
A6NNW6,Enzyme
Q13620,None
Q86UP6,None
Q8WYQ4,None
Q9Y442,None
O95567,None
Q8N1L1,None
Q6P5X5,None
Q6IC83,None
C9J442,None
Q9P013,None
Q9HCG8,None
Q6UX04,Enzyme
O96002,None
Q8TB33,None
A6NGU7,None
Q5VT33,None
Q8TB03,None
A8MYA2,None
Q8TE69,None
Q96DE9,None
Q9H5V9,None
Q8TC92,None
Q5JRM2,None
Q86X51,None
Q8TF08,Enzyme
Q9Y6H8,None
P36383,None
Q5T442,None
Q8NFK1,None
P02778,None
Q9H2A7,None
P08574,None
Q9H2H0,None
P13236,None
P51686,GPCR
P40259,None
P16070,None
Q6P1J9,None
P31358,None
Q5VXM1,None
Q86X02,None
Q16878,Enzyme
Q9Y6F8,Epigenetic
Q9H6K1,None
Q5SZD1,None
Q8NHQ1,None
Q8IYW2,None
Q96EP1,Enzyme
Q96BP2,None
Q9Y6H1,None
Q5SXM8,None
O00429,None
Q9Y6K1,Epigenetic
Q9UBC3,Epigenetic
Q9UJW3,Enzyme
Q6XZF7,None
P26358,Enzyme
Q9ULA0,Enzyme
O43598,Enzyme
O00115,Enzyme
P49184,Enzyme
Q13609,Enzyme
P13765,None
Q96BY6,None
Q5JSL3,None
Q14184,None
Q14185,None
Q8IZD9,None
Q96N67,None
Q8NCQ2,None
Q9Y6Y1,TF
Q9BPX3,None
Q6IBW4,None
P62633,None
Q8IZM0,None
Q86U37,None
Q4W4Y0,None
Q86TU6,None
Q9H972,None
Q9NWQ9,None
Q9NPU4,None
Q96I85,None
Q52M58,None
Q8N769,None
Q8WXQ3,None
P09543,Enzyme
Q15021,None
G9CGD6,None
Q9NQW8,IC
Q12860,None
Q02246,None
P16444,Enzyme
Q8IWV2,None
Q9UQ52,None
Q9UIV1,None
Q8N815,None
Q9BZ76,None
Q9C0A0,None
Q8WUR7,None
Q9Y2V0,None
P02458,None
P08572,None
Q49MI3,Enzyme
Q9HC77,None
Q96BT3,None
Q8N0S6,None
Q96ST8,None
Q7Z7K6,None
Q9UKY3,Enzyme
Q8IYR0,None
P08603,None
P05156,None
Q86XR8,None
Q76N32,None
Q8WU49,None
Q99674,None
Q9Y6A4,None
Q96JM3,None
Q8TDI0,Epigenetic
Q9HCK8,Epigenetic
Q3L8U1,Epigenetic
Q8NE62,Enzyme
Q5SY13,None
A6NFQ7,TF
Q5T2R2,Enzyme
Q5JU00,None
Q8NEE6,None
Q8IY82,None
Q5VUJ9,None
Q9H095,None
P21728,GPCR
P14416,GPCR
Q86Y22,None
P21917,GPCR
Q9NYL5,Enzyme
P08684,Enzyme
Q9H3G5,Enzyme
P17927,None
P20813,None
Q96BA8,TF
O43768,None
O75355,Enzyme
O75356,Enzyme
Q9NQZ7,Enzyme
Q9NPA8,None
Q9Y6X5,Enzyme
O95925,None
P42566,None
Q14677,None
Q5JZY3,Kinase
P54753,Kinase
O15083,None
O43731,None
Q4G0M1,None
Q8IV48,Enzyme
A8K979,Enzyme
Q96RQ1,None
O43414,Enzyme
Q5W0A0,None
Q86X53,None
A1L162,None
Q5RHP9,None
A6NGS2,None
Q6P6B1,None
P61579,None
O75477,None
O94905,None
Q96PL5,None
P47775,GPCR
Q76MJ5,Kinase
Q14330,GPCR
P46091,GPCR
Q99679,GPCR
Q8NDV2,GPCR
B6SEH8,None
B6SEH9,None
Q8TE68,Enzyme
Q9H6S3,Enzyme
Q8TE67,Enzyme
Q96AP7,None
Q5FWF5,Enzyme
Q56NI9,Enzyme
O75715,Enzyme
Q96J88,None
Q6NXG1,None
P10768,Enzyme
P12544,Enzyme
P10144,Enzyme
Q8N693,TF
P49863,Enzyme
Q6IC98,None
O75791,None
Q13588,None
Q9BSJ8,None
A0FGR8,None
A0FGR9,None
Q13322,None
Q3ZM63,None
P0DPP9,None
A0A1B0GVM5,None
P38117,None
Q6IPR1,None
Q3V6T2,None
P50549,TF
P41162,TF
P15036,TF
Q9NYK6,None
P58658,None
P57679,None
Q9BZE7,None
P22794,None
Q9UI08,None
A8MZ36,None
P49640,TF
Q03828,TF
Q01844,None
Q86VI1,None
Q7LDG7,None
Q92772,Kinase
Q14004,Kinase
Q3KPI0,None
Q8NAS9,None
Q7Z6I8,None
P47902,TF
P50613,Kinase
P31997,None
Q96J87,None
Q6UXA7,None
O95873,None
Q9HD87,None
Q9P0P8,None
A6NFT4,None
Q7Z4R8,None
Q9C0B2,None
Q5T6M2,None
Q8NI28,None
Q9BPX7,None
Q16880,Enzyme
Q8N884,Enzyme
P13569,IC
Q96MR6,None
Q8TD26,Epigenetic
P25067,None
P0C0L4,None
P07360,None
P20849,None
P02462,None
P12110,None
Q9Y2R0,Enzyme
Q02388,None
Q15054,Enzyme
Q9HCU8,Enzyme
Q07864,Enzyme
P56282,Enzyme
Q9NRF9,Enzyme
Q9UHL4,Enzyme
Q9NY33,Enzyme
P27487,Enzyme
P23528,None
Q9Y281,None
Q6V1X1,Enzyme
Q86TI2,Enzyme
Q7L190,None
A6NC42,None
Q17RW2,None
Q8NHY2,Enzyme
Q9UII6,Enzyme
Q5RI15,Enzyme
P0DPQ6,None
Q494V2,None
Q9BSU1,None
Q6UX73,None
O75354,Enzyme
Q09472,Epigenetic
Q9UM22,None
O95278,Enzyme
Q9HCE0,None
Q9H201,None
P29317,Kinase
Q5T890,None
Q9H9Y4,Enzyme
Q2NKX8,None
P07992,None
P18074,Enzyme
P28715,Enzyme
Q03468,None
Q13216,None
P50548,TF
Q14534,Enzyme
O76062,Enzyme
Q9UKR5,None
Q9Y282,None
P48449,Enzyme
Q969X5,None
Q7L0X2,None
O76042,None
O75460,Kinase
P49685,GPCR
Q13304,GPCR
Q15760,GPCR
Q96HE7,None
Q99680,GPCR
O00155,GPCR
Q96DN0,None
O00270,GPCR
O75388,GPCR
Q49SQ1,GPCR
Q9UPC5,GPCR
O43194,GPCR
O15529,GPCR
Q9Y5Y3,GPCR
Q86YR5,None
P81274,None
Q8N954,None
P0DP91,None
P11474,NR
Q96I76,None
O95718,NR
P62508,NR
Q9HCN6,None
Q9UJM3,None
P07203,Enzyme
P18283,Enzyme
P22352,Enzyme
Q9H501,None
Q96SL4,Enzyme
Q9NQ30,None
Q6ZVH7,None
P03372,NR
Q6UWW8,Enzyme
Q5XG92,Enzyme
Q6NT32,Enzyme
O15544,None
P20718,Enzyme
P51124,Enzyme
P28676,None
Q4V328,None
Q8TC17,None
Q7Z6J2,None
Q9NY74,None
Q14449,None
Q9C091,None
P62993,None
Q14451,None
P13804,None
Q9GZT9,None
P01133,None
P0C7U0,None
P32519,TF
P28324,TF
Q9NYP7,None
Q9UJA9,Enzyme
Q9Y5L3,Enzyme
Q9UNN8,None
P54764,Kinase
Q99814,None
P29322,Kinase
P54762,Kinase
O75616,Enzyme
P54760,Kinase
Q8IUS5,Enzyme
Q15303,Kinase
Q96RT1,None
P15170,Enzyme
P11308,TF
P84090,None
Q96DZ1,None
Q8TAM6,None
Q7Z2K6,Enzyme
Q9BS26,None
Q99678,GPCR
Q86YB8,None
Q9NS67,GPCR
P30040,None
Q9HC97,GPCR
O15354,GPCR
P46089,GPCR
P46093,GPCR
Q9Y2T5,GPCR
Q9Y2T6,GPCR
Q9BZJ8,GPCR
Q9BZJ7,GPCR
Q9BZJ6,GPCR
P46095,GPCR
O95800,GPCR
Q96P69,GPCR
Q96P67,GPCR
Q9NYM4,GPCR
Q9NQS5,GPCR
P60893,GPCR
Q9BY21,GPCR
Q9GZN0,GPCR
Q6UWM5,None
Q13227,None
Q9Y4H4,None
Q9NWQ4,None
Q9BRR8,None
Q9NW75,None
Q5T3I0,None
Q9UKJ3,None
Q9H3H5,Enzyme
P40197,None
P36969,Enzyme
P0CJ86,TF
P0CJ87,None
P0CJ88,TF
P24046,IC
Q14549,TF
Q9Y2E6,Enzyme
Q5JST6,None
Q9BUP0,None
P57678,None
Q8TEQ6,None
Q8WXD5,None
P52803,None
P98172,None
P52799,None
P55040,Enzyme
Q17RS7,Enzyme
Q9NQX3,None
Q99684,TF
Q3B7J2,Enzyme
Q14156,None
Q9Y2G0,None
O43281,None
Q86UU5,None
O95749,Enzyme
Q9H1K4,Transporter
Q8N2G8,None
P49770,None
Q9H4M9,None
Q8N9N8,None
Q9NWU2,None
Q99944,None
Q63HQ2,None
Q8N140,None
A0A087WX78,None
A6NLF2,Enzyme
P19419,TF
P41970,TF
Q96BJ8,None
Q9BW60,None
Q9NXB9,None
Q99607,TF
Q9HB03,None
Q9UKW6,TF
P13284,Enzyme
Q8WWP7,Enzyme
Q9UG22,Enzyme
Q9NUV9,Enzyme
Q96F15,Enzyme
Q6P9H5,Enzyme
Q8NHV1,Enzyme
Q8ND71,Enzyme
P0DJR0,Enzyme
Q9NXP7,Enzyme
Q9NU53,None
O14908,None
Q8TF65,None
Q8TF64,None
P48546,GPCR
P09681,None
Q9Y2X7,Enzyme
Q14161,Enzyme
Q5VSY0,Enzyme
Q9NS71,None
Q86XP6,None
P0CG01,None
Q6UWU2,Enzyme
Q58FF3,None
P14625,None
O95936,TF
Q5NDL2,Enzyme
B3EWF7,None
O14638,Enzyme
Q14507,None
Q96L91,None
P54756,Kinase
Q14236,None
Q9Y6I3,None
O95208,None
Q9NZ08,Enzyme
O15197,Kinase
Q9H6B9,Enzyme
P21860,Kinase
P19447,Enzyme
P38646,None
Q9H790,Enzyme
Q96A65,None
Q13868,None
O00167,None
O95677,None
Q9UBQ6,Enzyme
P15311,None
Q8TC76,None
Q8TAY7,None
Q9H098,None
Q6P1L5,None
Q9NQL9,TF
Q07687,TF
Q6PK57,None
Q96MA1,TF
P80370,None
Q8N5C7,None
Q86Y01,Enzyme
Q16690,Enzyme
Q9NRD9,Enzyme
Q9Y6W6,Enzyme
O94808,Enzyme
Q6UXV0,None
A1L429,None
P0CL80,None
P0CL82,None
A6NER3,None
Q8N9W4,None
A6NEY3,None
A6NEF3,None
A8MZA4,None
A0A1B0GV03,None
A6NEM1,None
A6NI86,None
H0YKK7,None
H0YM25,None
Q9UJY5,None
Q9HBQ8,None
Q9UJY4,None
Q9NZ52,None
Q9BVM4,Enzyme
O75223,Enzyme
Q9UEU5,None
Q5JRK9,None
Q92820,Enzyme
Q5YKI7,None
Q9H3C7,None
A6NGU5,Enzyme
Q9H3K2,None
P18146,TF
Q14152,None
Q6UWR7,Enzyme
Q8IYW4,None
Q13822,Enzyme
Q6UW88,None
Q99645,None
Q9NQ60,None
A6NHQ4,None
P19235,None
P01588,None
Q9UHW5,Enzyme
Q14956,None
P60509,None
P04626,Kinase
O14944,None
P62495,Enzyme
P24390,None
Q8IYD1,Enzyme
P33947,None
Q7L7V1,Enzyme
Q00796,Enzyme
Q9Y5R6,TF
Q9Y222,TF
O95620,Enzyme
A8MPY1,IC
Q16828,Enzyme
Q9BY84,Enzyme
Q96CN9,None
Q9H596,Enzyme
P33316,Enzyme
O43812,None
P0DPD8,None
Q8IY85,None
O14681,None
Q9UHF1,None
P41214,None
Q13144,None
P41567,None
P55199,Enzyme
O95163,None
Q14576,None
Q9H9T3,Epigenetic
Q96EB1,None
Q5MY95,Enzyme
Q9Y5R5,TF
Q9Y2H0,None
Q4LDG9,None
P24855,Enzyme
Q7Z5Q5,Enzyme
O75417,Enzyme
P54098,Enzyme
P06746,Enzyme
C9JQL5,None
Q8TD84,None
P56555,None
P14867,IC
P59022,None
Q02487,None
Q9NZJ0,None
O14764,IC
Q99928,IC
Q9H0R8,None
Q658K8,None
P35573,None
O95390,None
Q96G04,Enzyme
Q9UK05,None
Q5U4N7,None
Q9BUY7,None
Q6NXP0,None
P60507,None
P60608,None
Q9HAE3,None
P36268,Enzyme
P36269,Enzyme
Q6P531,Enzyme
Q9UJ14,Enzyme
P49411,None
Q14232,None
Q9Y6B2,None
O00472,Enzyme
Q8TE02,None
Q9HBU6,Kinase
Q0PNE2,None
Q9NX74,Enzyme
Q16829,Enzyme
P51452,Enzyme
Q92947,Enzyme
Q9NRW4,Enzyme
P16383,None
Q8IUX8,None
O15371,None
Q96KQ7,Epigenetic
P17813,None
Q8IVV7,None
O75821,None
Q9HB65,Enzyme
Q13347,None
Q3SY89,Enzyme
Q9NVF9,Kinase
Q8IZ81,None
Q92556,None
Q15717,None
P08246,Enzyme
Q9GZR5,None
Q9Y227,Enzyme
Q9H2F5,None
O95886,None
P28067,None
Q9GZS0,None
Q8TDM6,None
Q02742,Enzyme
O95395,Enzyme
Q6ZNI0,Enzyme
Q9BSJ2,None
Q8WXX0,None
Q96JB1,None
Q96RT7,None
Q8WWB3,None
Q96IM9,None
Q6ZR08,None
Q0VDD8,None
Q9UFH2,None
Q8TD57,None
P63167,None
P51808,None
Q7RTS9,None
P50570,None
Q9Y463,Kinase
Q9UQ16,None
Q86XF0,Enzyme
Q92630,Kinase
O43781,Kinase
Q9NR20,Kinase
Q9NVP4,None
Q8IYY4,None
Q8N6F7,None
Q9BQI3,Kinase
P19525,Kinase
Q16254,TF
Q15329,TF
Q9NZJ5,Kinase
Q9P2K8,Kinase
A0AVK6,TF
P23434,None
Q9H4G0,None
Q9HCM4,None
Q96JC9,None
Q96CJ1,TF
P0CF75,None
P43026,None
P13639,None
Q6KF10,None
A4FU69,None
A8K855,None
Q96RP9,None
P07093,None
Q8N9F7,Enzyme
P51530,Enzyme
P78352,None
Q8N1N2,None
P00374,Enzyme
O75923,None
Q03001,None
A2CJ06,None
Q86YF9,None
Q86Y13,Enzyme
O00716,TF
O75461,TF
Q96AV8,TF
Q01094,TF
O43491,None
Q9Y2J2,None
P43005,Transporter
O00341,Transporter
Q56P03,None
Q9HAF1,None
O95905,None
P40939,None
P55084,Enzyme
Q86YB7,Enzyme
Q96DC8,Enzyme
P30084,Enzyme
Q08426,None
P42126,Enzyme
O75521,Enzyme
Q6UWP2,Enzyme
Q9H6R0,Enzyme
Q8NDZ4,None
Q8N5I4,Enzyme
O60879,None
Q9H1X3,None
Q9UKB3,None
Q96SC8,TF
Q9P1A6,None
Q86YH6,Enzyme
Q8TF09,None
Q92997,None
P0DN84,None
Q13838,Enzyme
Q14397,Enzyme
Q9NP62,TF
Q9P109,Enzyme
Q96CW5,None
Q9UGJ1,None
Q96RT8,None
Q9NYC9,None
Q8NCM8,None
P04150,NR
Q8TE73,None
Q05193,None
Q14209,TF
Q9H329,None
Q66K89,TF
Q6ZTU2,None
Q9HCS5,None
Q9NR61,None
Q92988,TF
Q9UGM3,None
Q96PT4,None
P54792,None
O00148,Enzyme
Q99848,None
Q6P2I7,None
Q9BY08,None
P42892,Enzyme
P0DPD6,Enzyme
O95672,Enzyme
P12724,Enzyme
Q6P2E9,None
A0A1B0GTR0,None
Q9BV94,Enzyme
Q9BZQ6,Enzyme
O60869,None
O43854,None
P14138,None
Q7L9B9,Enzyme
Q3B7T1,None
Q05639,None
Q96MZ0,None
Q99675,None
Q8N9H6,None
Q6P047,None
O95992,Enzyme
Q14839,Epigenetic
Q9H9P2,None
Q8NFT8,None
Q96M86,None
Q96EY1,None
Q8WW22,None
P25685,None
P61024,Enzyme
Q8WZ79,Enzyme
Q92874,Enzyme
O96005,None
P06340,None
Q14183,None
Q92608,None
Q8N1I0,None
Q9H7D0,None
Q96HP0,None
Q8NF50,None
Q9BZ29,None
Q9BU89,Enzyme
Q99704,None
O60496,None
Q7L591,None
Q8TEW6,None
Q9P104,None
Q6PKX4,None
Q18PE1,None
Q9UPQ8,Enzyme
Q9NYP3,None
Q5JWR5,None
Q9Y3R5,None
P30046,Enzyme
P09172,Enzyme
Q86YN1,Enzyme
Q8TEK3,Epigenetic
Q1HG43,Enzyme
Q1HG44,Enzyme
Q9UKG1,None
Q8NEU8,None
A0A0U1RQF7,None
P20036,None
Q9H5Z1,Enzyme
O75911,Enzyme
Q9H2U1,Enzyme
Q8IY37,Enzyme
Q8IX18,Enzyme
Q9UBX3,Transporter
Q14689,None
Q9NXW2,None
O94907,None
Q9UBU2,None
Q9UK85,None
Q5HYR2,None
Q09013,Kinase
Q15700,None
O96015,None
Q9NR33,Enzyme
Q9UHN1,Enzyme
P09884,Enzyme
O75879,Enzyme
P16520,None
Q9HAV0,None
Q8N1C3,IC
P18507,IC
P0CJ85,TF
Q13202,Enzyme
Q9UNI6,Enzyme
Q6ZN92,Enzyme
Q8WTR2,Enzyme
Q96PT3,None
P30793,Enzyme
O75603,TF
Q92616,None
Q9BZD3,None
Q9C0G6,None
Q9H3P7,None
Q14204,None
Q8IVF4,None
Q96DT5,None
Q9P2D7,None
Q9P225,None
Q96FJ2,None
P63172,None
Q13627,Kinase
Q92538,None
P32926,None
P57055,None
Q96T75,None
P59020,None
P34903,IC
Q8IZU8,Enzyme
P48169,IC
O60469,None
P31644,IC
O95166,None
P18505,IC
P28472,IC
P0CJ89,TF
P0CJ90,None
Q9BY60,None
O00591,IC
Q4G0W2,Enzyme
Q13115,Enzyme
Q9UN88,IC
Q96G46,Enzyme
P52951,TF
Q8IWJ2,None
Q6RFH8,None
A6NLW8,TF
O77932,Enzyme
O14641,None
Q30KR1,None
Q7Z7B8,None
Q13117,None
Q9UK59,None
Q8WV16,None
Q8N568,Kinase
P27707,Kinase
Q9UHI6,Enzyme
Q9Y6V7,Enzyme
Q9NUI1,Enzyme
Q92499,Enzyme
Q16832,Kinase
O75064,None
Q16854,Kinase
O43143,Enzyme
Q9P265,None
Q8TBM8,None
P59910,None
Q8N4W6,None
Q9UBT3,None
Q8NFW5,TF
Q96GE9,None
Q9NW81,Enzyme
P37058,Enzyme
P49448,Enzyme
Q6P3W2,None
Q8IXB1,None
A7MBM2,None
Q9P2K9,None
O00548,None
Q8IXT2,TF
P56178,TF
P56179,TF
Q9Y485,None
P78334,IC
Q9BVJ7,Enzyme
Q8NBA8,None
Q8TDB6,Enzyme
P28476,IC
Q05923,Enzyme
Q6XUX3,Kinase
Q68J44,Enzyme
O95147,Enzyme
Q9H1R2,Enzyme
Q8WZA8,None
Q8NEJ0,Enzyme
Q6P1R4,Enzyme
P28562,Enzyme
Q9UBX2,None
O14640,None
Q8N3D4,None
Q05215,TF
Q9H6Z9,None
P60228,None
P61550,None
P22413,Enzyme
Q8IV61,None
Q9Y2C4,Enzyme
Q9Y3B2,None
Q96B26,Enzyme
O43909,Enzyme
Q9NRY5,None
P50502,None
Q8WW52,None
Q5BKY9,None
Q9UHL3,None
O75949,None
C9JC47,None
P0CG42,None
Q9Y6X4,None
Q96EK7,None
O00757,Enzyme
Q5VUB5,None
A8MVW0,None
Q6P4H8,None
Q8TBP5,None
Q8NB25,None
A6NE01,None
Q8IYM0,None
Q96LR4,None
Q7Z5A7,None
Q96PV7,None
Q9UFP1,None
Q5SY85,None
Q9H8W3,None
Q6ZU69,None
Q63HN1,None
A6NFA0,None
Q32MH5,None
Q96KR6,None
Q8IW50,None
A6NKX1,None
Q96M60,None
Q86W67,None
P0C875,None
H3BQW9,None
Q4G0N7,None
P0DMU4,None
A6NCW3,None
P0DMU5,None
Q6ZW35,None
P0DMU3,None
A0A1B0GUQ0,None
A0A1B0GV22,None
A0A1B0GTK4,None
A0A1B0GVK7,None
A0A1B0GVZ2,None
Q8N8J7,None
Q96D05,None
O60825,Kinase
Q8N7N1,Enzyme
P0C5J1,Enzyme
A6NEL3,Enzyme
Q05BU3,None
Q5RGS3,None
Q4VXF1,None
Q658T7,None
A6NJQ4,None
A6NNJ1,None
A6NE21,None
P0C7V4,None
A6NIJ5,None
P0C7X0,None
D6RGX4,None
A6NNH2,None
P03951,Enzyme
P00742,Enzyme
O94988,None
Q9H0Q0,None
Q9NUQ9,None
Q14153,None
Q71RH2,None
Q9NZY2,None
P12259,None
Q8TCE6,None
Q8IYT1,None
Q8TC56,None
Q8NEG0,None
Q96KN1,None
Q06889,TF
Q9NZC4,TF
Q96KS0,None
Q8IYF1,Enzyme
O15372,None
Q8N336,None
P98073,Enzyme
P21709,Kinase
Q12929,Enzyme
Q6P179,Enzyme
Q9NVH0,Enzyme
Q96KP1,None
