target_chembl_id,chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,accession,pref_name,organism,standard_value,standard_units,standard_relation,pchembl_value,isHighQualityProbe,isTherapeuticTarget,concatenated_sources
CHEMBL1250415,CHEMBL36,2080,CHEMBL3579967,1,LITERATURE,J Med Chem,2.5984755E7,10.1021/jm5017895,103529,P06865,Beta-hexosaminidase subunit alpha,Homo sapiens,8500.0,nM,=,5.07,false,false,"uniprot_literature,eva,orphanet,gene2phenotype,clingen,uniprot_variants"
CHEMBL1255137,CHEMBL3408213,1834968,CHEMBL3413918,1,LITERATURE,J Med Chem,2.5680029E7,10.1021/jm501436m,103548,P56704,Protein Wnt-3a,Homo sapiens,7.0,nM,=,8.15,true,false,chemicalProbes
CHEMBL1255163,"CHEMBL3633802,CHEMBL3188386","1971064,1677677","CHEMBL3635401,CHEMBL3635400",1,LITERATURE,Bioorg Med Chem Lett,2.6522946E7,10.1016/j.bmcl.2015.10.032,103574,Q9H237,Probable protein-cysteine N-palmitoyltransferase porcupine,Homo sapiens,"2.9,0.4",nM,=,"9.4,8.54",false,true,"impc,chembl,chembl"
CHEMBL1293224,"CHEMBL191083,CHEMBL297453,CHEMBL480","5975,67987,316765","CHEMBL2213420,CHEMBL2390683,CHEMBL3368556",1,LITERATURE,"ACS Med Chem Lett,J Med Chem,Eur J Med Chem","2.5086914E7,2.3484434E7,2.490041E7","10.1016/j.ejmech.2014.07.095,10.1021/jm3017317,10.1021/ml300216t",103657,P10636,Microtubule-associated protein tau,Homo sapiens,"1800.0,2200.0,2.5",nM,=,"5.66,5.75,8.6",false,"false,true","ot_genetics_portal,eva,chembl,impc,eva,ot_genetics_portal,chembl"
CHEMBL1293237,CHEMBL2426168,1581289,CHEMBL2428261,1,LITERATURE,Bioorg Med Chem Lett,2.4012121E7,10.1016/j.bmcl.2013.08.025,103670,P54132,Bloom syndrome protein,Homo sapiens,1800.0,nM,=,5.75,false,false,chemicalProbes
CHEMBL1293289,"CHEMBL2393130,CHEMBL2017291,CHEMBL4639128,CHEMBL3133807,CHEMBL3581647,CHEMBL4297454,CHEMBL4785363,CHEMBL4078100,CHEMBL1957266,CHEMBL4636881,CHEMBL1232461,CHEMBL4648362,CHEMBL4297458","2218011,2473439,2335429,1566719,2475686,1947706,1335014,2484913,1282795,694811,2521954,1625905,2335425","CHEMBL5054311,CHEMBL5162526,CHEMBL3585074,CHEMBL3584941,CHEMBL4650198,CHEMBL4724831,CHEMBL3773027,CHEMBL4432582,CHEMBL4668944,CHEMBL4727064,CHEMBL4626982,CHEMBL5156587","1,55","EUBOPEN_CGL,LITERATURE","Bioorg Med Chem,J Med Chem","2.6367539E7,2.6080064E7,3.5333526E7,3.3549905E7,2.7528113E7,3.2691589E7,3.2691591E7,3.4543572E7,3.4962793E7,3.2787145E7","10.6019/CHEMBL4649998,10.1021/acs.jmedchem.5b01135,10.1021/acs.jmedchem.5b00613,10.1021/acs.jmedchem.1c01864,10.1021/acs.jmedchem.6b00070,10.1021/acs.jmedchem.0c00605,10.1021/acs.jmedchem.1c00625,10.1021/acs.jmedchem.0c00614,10.1016/j.bmc.2021.116015,10.1021/acs.jmedchem.0c00566,10.1021/acs.jmedchem.2c00100",103722,P25440,Bromodomain-containing protein 2,Homo sapiens,"9.0,3.981,100.0,3.93,1.4,5.4,0.92,25.0,390.0,251.19,206.0,79.43,50.3",nM,=,"8.05,6.41,8.41,7.3,7.6,6.69,8.85,9.04,8.4,6.6,7.0,7.1,8.27","false,true","false,true","impc,chembl,impc,ot_genetics_portal,chembl,chemicalProbes,chembl,chemicalProbes,chembl"
CHEMBL1628461,"CHEMBL367149,CHEMBL460026","446432,302932",CHEMBL3117757,1,LITERATURE,J Med Chem,2.4351031E7,10.1021/jm401292m,103780,Q8TDS5,Oxoeicosanoid receptor 1,Homo sapiens,2000.0,nM,=,5.7,false,false,ot_genetics_portal
CHEMBL1649059,CHEMBL1421,361469,CHEMBL1908755,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103855,Q86Y07,Serine/threonine-protein kinase VRK2,Homo sapiens,3200.0,nM,=,5.5,false,false,ot_genetics_portal
CHEMBL1741186,"CHEMBL4225088,CHEMBL2137199,CHEMBL38,CHEMBL2326408,CHEMBL1751,CHEMBL169","2297579,2208,581814,201200,1409150,1520596","CHEMBL3385309,CHEMBL3368933,CHEMBL2327512,CHEMBL3242032,CHEMBL3375302,CHEMBL4709763",1,LITERATURE,"ACS Med Chem Lett,Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","2.5305688E7,2.4704616E7,2.5453817E7,3.2870008E7,2.4502334E7,2.4040486E7","10.1021/jm401901d,10.1016/j.ejmech.2014.03.065,10.1016/j.bmcl.2014.09.053,10.1021/acs.jmedchem.0c00960,10.1021/ml300286h,10.1016/j.bmcl.2014.10.037",103982,P51449,Nuclear receptor ROR-gamma,Homo sapiens,"199.53,130.0,51.0,109.0,3.2,105.0",nM,=,"8.49,6.98,7.29,6.7,6.89,6.96","false,true",false,"ot_genetics_portal,chemicalProbes,impc,ot_genetics_portal"
CHEMBL1743122,"CHEMBL289469,CHEMBL1502,CHEMBL219916,CHEMBL723,CHEMBL932,CHEMBL11,CHEMBL55,CHEMBL941,CHEMBL46,CHEMBL481,CHEMBL691","3965,31241,54547,86042,88797,36662,419598,605,5985,3183,364745","CHEMBL2320303,CHEMBL2154120",1,LITERATURE,J Med Chem,"2.1599003E7,2.3241029E7","10.1021/jm301302s,10.1021/jm2001629",104063,O15244,Solute carrier family 22 member 2,Homo sapiens,"2700.0,600.0,7500.0,7900.0,2200.0,890.0,1500.0,4200.0,4300.0,1200.0,2600.0",nM,=,"6.05,5.66,5.1,5.82,5.57,5.58,5.37,5.12,5.92,5.38,6.22",false,false,"ot_genetics_portal,ot_genetics_portal,gene_burden"
CHEMBL1743126,"CHEMBL219916,CHEMBL11,CHEMBL55,CHEMBL163,CHEMBL46","3965,88100,605,3183,364745","CHEMBL2320299,CHEMBL2320298,CHEMBL2320306,CHEMBL2154123",1,LITERATURE,J Med Chem,"2.1599003E7,2.3241029E7","10.1021/jm301302s,10.1021/jm2001629",104067,Q96FL8,Multidrug and toxin extrusion protein 1,Homo sapiens,"410.0,2300.0,30.0,80.0,10000.0",nM,=,"5.0,7.52,5.64,6.39,7.1",false,false,"ot_genetics_portal,impc"
CHEMBL1743291,"CHEMBL691,CHEMBL135","31241,27626",CHEMBL3537872,1,LITERATURE,Drug Metab Dispos,2.2593037E7,10.1124/dmd.112.045583,104076,P50225,Sulfotransferase 1A1,Homo sapiens,"4.3,1200.0",nM,=,"8.37,5.92",false,false,"ot_genetics_portal,impc"
CHEMBL1770034,"CHEMBL255863,CHEMBL513909,CHEMBL4446338,CHEMBL477772,CHEMBL553,CHEMBL1230609,CHEMBL428690,CHEMBL941,CHEMBL1287853,CHEMBL939,CHEMBL4455633","489525,426660,490644,714243,692959,2362642,14785,88797,88232,2353347,14366","CHEMBL4406349,CHEMBL1908831",1,LITERATURE,"J Med Chem,Nat Biotechnol","3.229812E7,2.2037378E7","10.1038/nbt.1990,10.1021/acs.jmedchem.0c00227",104126,Q8TBX8,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,Homo sapiens,"1000.0,7500.0,870.0,28.0,4.8,8800.0,110.0,4100.0,280.0,380.0,3.4",nM,=,"6.55,5.06,6.06,8.32,6.0,6.42,5.12,6.96,5.39,8.47,7.55","false,true",false,"impc,chemicalProbes,impc,ot_genetics_portal"
CHEMBL1770047,"CHEMBL1770248,CHEMBL1819489","1142547,1171697","CHEMBL1821169,CHEMBL1772493",1,LITERATURE,"Bioorg Med Chem,J Med Chem","2.1873071E7,2.1449606E7","10.1016/j.bmc.2011.08.005,10.1021/jm200049r",104139,Q9NY91,Low affinity sodium-glucose cotransporter,Homo sapiens,"11.0,0.877",nM,=,"9.06,7.96",false,false,chemicalProbes
CHEMBL1772932,CHEMBL5084426,2728877,CHEMBL5059584,54,DONATED_PROBES,"","",10.6019/CHEMBL5058649,104146,O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1,Homo sapiens,3.3,nM,=,8.48,true,false,chemicalProbes
CHEMBL1787,"CHEMBL710,CHEMBL1200969,CHEMBL118446","674920,195926,33679","CHEMBL805444,CHEMBL811334,CHEMBL4371136",1,LITERATURE,J Med Chem,"2.9400967E7,7707319.0,1.1020287E7","10.1021/jm000945r,10.1021/jm00007a013,10.1021/acs.jmedchem.7b01788",79,P18405,Steroid 5-alpha-reductase 1,Homo sapiens,"2.7,26.3,4.0",nM,=,"8.57,8.4,7.58",false,"false,true","chemicalProbes,chembl"
CHEMBL1792,"CHEMBL408350,CHEMBL1680,CHEMBL1080585,CHEMBL236788,CHEMBL262135,CHEMBL1823872,CHEMBL1201185","616837,321172,402028,320848,511465,675136,1173967","CHEMBL1113031,CHEMBL4330499,CHEMBL801206,CHEMBL857866,CHEMBL828468,CHEMBL827603",1,LITERATURE,"Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","1.5828816E7,1.1266182E7,1.9786348E7,3.0503939E7,1.2773038E7","10.1021/jm040794i,10.1016/j.bmcl.2009.09.024,10.1016/j.ejmech.2018.11.030,10.1021/jm021093t,10.1016/s0960-894x(01)00051-8",11265,P35346,Somatostatin receptor 5,Homo sapiens,"393.0,3.981,377.0,22.0,3.0,13.0,0.065",nM,=,"8.52,7.66,7.89,6.42,8.4,10.19,6.41","false,true","false,true","impc,chembl,chemicalProbes,chembl"
CHEMBL1793,"CHEMBL3301581,CHEMBL525610,CHEMBL3976807","500007,1763543,2186178","CHEMBL4344435,CHEMBL4026745,CHEMBL4195664",1,LITERATURE,J Med Chem,"2.9064243E7,3.202256E7,2.9932656E7","10.1021/acs.jmedchem.7b00876,10.1021/acs.jmedchem.8b00182,10.1021/acs.jmedchem.9b01743",160,Q03431,Parathyroid hormone receptor,Homo sapiens,"0.02,0.08,4100.0",nM,=,"10.7,10.1,5.39",false,true,"impc,eva,chembl,chembl"
CHEMBL1795143,CHEMBL4286938,2326386,CHEMBL4265322,1,LITERATURE,J Med Chem,3.0403352E7,10.1021/acs.jmedchem.8b01407,104223,Q86W56,Poly(ADP-ribose) glycohydrolase,Homo sapiens,26.0,nM,=,7.58,true,false,chemicalProbes
CHEMBL1795168,"CHEMBL53463,CHEMBL595","19737,78759",CHEMBL3863231,1,LITERATURE,Bioorg Med Chem Lett,2.7687671E7,10.1016/j.bmcl.2016.09.009,104248,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,Homo sapiens,"3451.0,370.0",nM,=,"5.46,6.43",false,false,"ot_genetics_portal,impc"
CHEMBL1795188,"CHEMBL34259,CHEMBL605580","603237,49931","CHEMBL1067647,CHEMBL4194632",1,LITERATURE,J Med Chem,"2.9425443E7,2.0085328E7","10.1021/acs.jmedchem.7b01708,10.1021/jm9015729",104268,Q96NT5,Proton-coupled folate transporter,Homo sapiens,"100.0,121.0",nM,=,"6.92,7.0",false,false,"uniprot_literature,impc,eva,orphanet,ot_genetics_portal,gene2phenotype,uniprot_variants,chemicalProbes"
CHEMBL1795192,"CHEMBL384304,CHEMBL296468,CHEMBL223360,CHEMBL1230609,CHEMBL4877117,CHEMBL428690,CHEMBL603469,CHEMBL445813","361203,692959,2570888,371147,597145,511261,71663,14366","CHEMBL1908458,CHEMBL5146317",1,LITERATURE,"J Med Chem,Nat Biotechnol","3.5235745E7,2.2037378E7","10.1038/nbt.1990,10.1021/acs.jmedchem.1c02190",104272,Q14004,Cyclin-dependent kinase 13,Homo sapiens,"4.9,1000.0,23.0,38.0,430.0,110.0,210.0,3.2",nM,=,"8.49,6.37,7.64,6.0,6.68,6.96,8.31,7.42",false,"false,true","chemicalProbes,chembl"
CHEMBL1804,"CHEMBL305279,CHEMBL408350,CHEMBL1680,CHEMBL3144285,CHEMBL262135,CHEMBL1823872,CHEMBL1201185","1633576,108066,321172,320848,511465,675136,1173967","CHEMBL807096,CHEMBL857870,CHEMBL828437,CHEMBL828435,CHEMBL805714,CHEMBL4841562",1,LITERATURE,"Bioorg Med Chem,J Med Chem","1.1520208E7,1.5828816E7,9632348.0,1.2773038E7,3.4626901E7","10.1021/jm040794i,10.1016/j.bmc.2021.116424,10.1021/jm0108449,10.1021/jm021093t,10.1021/jm980194h",117,P30874,Somatostatin receptor 2,Homo sapiens,"0.035,0.78,4.0,14.0,0.2,0.03,0.5012",nM,=,"9.11,10.52,10.46,9.7,8.4,9.3,7.85",false,"false,true","chemicalProbes,chembl"
CHEMBL1821,"CHEMBL3545181,CHEMBL21731,CHEMBL629,CHEMBL490,CHEMBL1101,CHEMBL1113,CHEMBL726,CHEMBL716,CHEMBL1734,CHEMBL643,CHEMBL657,CHEMBL1231,CHEMBL1535,CHEMBL564,CHEMBL21536,CHEMBL6437,CHEMBL2057417,CHEMBL1346,CHEMBL1382,CHEMBL2057392,CHEMBL479,CHEMBL1910856,CHEMBL517712,CHEMBL75880,CHEMBL1123,CHEMBL71,CHEMBL76,CHEMBL728,CHEMBL415,CHEMBL285802,CHEMBL633,CHEMBL1201027,CHEMBL22108,CHEMBL715,CHEMBL1628227,CHEMBL809,CHEMBL3084748,CHEMBL1589763,CHEMBL1108,CHEMBL551466,CHEMBL83,CHEMBL376897,CHEMBL445,CHEMBL59898,CHEMBL42,CHEMBL1978713","1353168,1013647,996,6643,36842,321964,370289,6216,152751,1300004,2261,429737,119288,1353143,27713,1927030,37266,26443,34197,6968,53616,229058,573,562404,291960,27629,27368,27072,165774,6579,155045,34266,445395,5970,1250454,561914,94171,26653,2262,151063,16391,674978,1594639,27185,34234,1051118","CHEMBL2320373,CHEMBL4309933,CHEMBL4303776,CHEMBL1048034,CHEMBL1913684,CHEMBL747772,CHEMBL749860,CHEMBL746455,CHEMBL1909173,CHEMBL1291432,CHEMBL932205,CHEMBL895629,CHEMBL933759,CHEMBL5030006,CHEMBL2380032,CHEMBL4119547,CHEMBL4306810,CHEMBL4615173,CHEMBL2060895","15,1,52","DRUGMATRIX,SARS_COV_2,LITERATURE","ACS Med Chem Lett,Bioorg Med Chem,Bioorg Med Chem Lett,J Med Chem,Nature,Eur J Med Chem","1.9928767E7,2.3177787E7,3.1223452E7,2.3523385E7,2.1036043E7,1.8395442E7,3.2353859E7,1.1354386E7,1.1831911E7,3.4710625E7,2.2738637E7,1.8042383E7,1.4998318E7,3.2374602E7,3.0106578E7,1.7880057E7,2.1870878E7,2.8609709E7","10.1038/s41586-020-2286-9,10.1021/acs.jmedchem.9b02100,10.1021/jm010480k,10.1021/acs.jmedchem.8b00875,10.1021/jm030480f,10.1016/j.ejmech.2017.06.004,10.1016/j.bmcl.2012.10.073,10.1016/j.bmcl.2021.128416,10.1016/j.bmcl.2007.11.022,10.1021/jm901048j,10.1016/j.bmcl.2012.05.109,10.1021/acsmedchemlett.9b00106,10.1016/j.bmcl.2010.10.016,10.1021/jm200884j,10.1016/j.bmcl.2008.03.061,10.1021/jm070516u,10.1016/s0960-894x(01)00186-x,10.1016/j.bmc.2013.01.072",214,P08173,Muscarinic acetylcholine receptor M4,Homo sapiens,"42.0,1288.25,125.89,500.9,21.0,12.59,11.0,366.9,6.0,506.0,0.739,8.6,672.0,550.0,0.1585,0.104,495.0,32.1,52.0,95.0,3.1,407.38,0.115,6.457,0.03981,537.0,13.0,484.0,1.057,0.278,242.0,5495.41,0.411,34.0,58.0,56.0,190.0,1.445,0.1413,6.303,5.842,128.82,5754.4,288.0,0.1995",nM,=,"7.02,9.13,9.39,8.07,9.98,7.96,6.32,9.94,8.23,6.54,7.9,7.47,8.19,6.27,5.26,7.25,7.38,8.22,9.8,5.24,6.39,8.51,7.89,7.28,8.2,6.43,6.72,7.68,9.7,9.85,8.98,6.26,6.3,9.56,6.17,7.49,7.24,8.84,5.89,6.89,6.62,6.9,10.4","false,true","false,true","ot_genetics_portal,impc,impc,ot_genetics_portal,chembl,chemicalProbes,chembl,impc,ot_genetics_portal"
CHEMBL1833,"CHEMBL47050,CHEMBL21731,CHEMBL1200406,CHEMBL629,CHEMBL27,CHEMBL360328,CHEMBL954,CHEMBL726,CHEMBL442,CHEMBL716,CHEMBL49,CHEMBL621,CHEMBL30008,CHEMBL597,CHEMBL657,CHEMBL643,CHEMBL157138,CHEMBL1201356,CHEMBL1336,CHEMBL243712,CHEMBL429,CHEMBL526,CHEMBL415,CHEMBL1405,CHEMBL2105760,CHEMBL708,CHEMBL1628227,CHEMBL809,CHEMBL357995,CHEMBL42,CHEMBL1631540,CHEMBL39,CHEMBL1113,CHEMBL254832,CHEMBL549,CHEMBL263881,CHEMBL86,CHEMBL7257,CHEMBL54,CHEMBL81,CHEMBL15245,CHEMBL564,CHEMBL6437,CHEMBL294951,CHEMBL194378,CHEMBL479,CHEMBL46516,CHEMBL723,CHEMBL71,CHEMBL728,CHEMBL2,CHEMBL633,CHEMBL707,CHEMBL715,CHEMBL1108,CHEMBL1732,CHEMBL74355,CHEMBL85,CHEMBL83,CHEMBL493,CHEMBL350221,CHEMBL1201087,CHEMBL6966,CHEMBL445,CHEMBL104,CHEMBL1112,CHEMBL46","301194,152751,36662,2261,2232,33664,2203,15191,27713,255377,37266,1370,262631,65404,34197,342897,155006,1378030,573,92984,675038,14367,27368,674357,7065,27072,120674,558566,5970,263558,2262,3859,16391,1785,66843,27185,2214,1219,331146,1051118,675307,11819,996,36842,418483,20131,33373,6216,97,276734,7736,3599,601,38764,6968,53616,27629,389011,155045,6914,3183,66238,1054194,7714,26401,13494,34234","CHEMBL4314361,CHEMBL3773630,CHEMBL895621,CHEMBL883724,CHEMBL617645,CHEMBL1909104,CHEMBL895622,CHEMBL2167683,CHEMBL4670124,CHEMBL4260800,CHEMBL2340914,CHEMBL1285546,CHEMBL1287095,CHEMBL2328669,CHEMBL3095680,CHEMBL863543,CHEMBL3821450,CHEMBL1635451","15,1","DRUGMATRIX,LITERATURE","ACS Med Chem Lett,Bioorg Med Chem,Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","2.7312422E7,2.0942472E7,1.2213075E7,2.3177783E7,1.6061378E7,2.2694093E7,2.3606928E7,1.6392816E7,2.0958049E7,3.2853682E7,2.1053897E7,2.6704965E7,1.7880057E7,2.4189186E7,3.038929E7,3.1586817E7","10.1016/j.ejmech.2019.111736,10.1021/jm100714c,10.1021/jm020153s,10.1016/j.bmc.2016.05.053,10.1021/jm100600y,10.1021/jm300338m,10.1021/jm100856p,10.1021/jm050663x,10.1016/j.bmc.2013.10.010,10.1021/ml3003814,10.1016/j.bmcl.2020.127511,10.1016/j.bmcl.2005.06.104,10.1021/jm070516u,10.1021/acs.jmedchem.5b01153,10.1016/j.bmcl.2012.10.091,10.1016/j.bmcl.2018.10.036",227,P41595,Serotonin 2b (5-HT2b) receptor,Homo sapiens,"456.0,1326.0,135.9,218.0,867.0,4.33,0.36,105.0,3499.0,184.0,854.0,316.23,1.3,1305.0,692.0,587.0,2.0,234.0,1.585,69.0,6.569,5.292,214.0,30.0,1171.0,6.31,86.0,221.0,45.0,969.0,2.203,68.0,3.242,501.19,1258.93,8676.0,2621.0,2159.5,52.0,0.8,3217.0,25.0,82.0,74.0,43.0,7385.0,1097.0,477.0,4.642,3.162,1.0,65.0,711.0,56.0,1933.0,0.3981,401.0,15.0,0.07079,1.4,47.0,151.4,152.0,2422.0,39.81",nM,=,"7.37,5.93,8.7,6.34,7.52,7.19,5.88,6.07,9.44,8.49,8.36,6.87,6.5,10.15,8.8,7.07,5.46,5.49,6.98,6.4,7.28,8.2,9.0,5.06,5.96,7.16,5.58,7.4,8.89,7.82,9.1,6.32,5.13,6.66,6.82,7.35,6.74,6.16,6.23,9.4,5.62,8.18,8.28,8.33,7.09,5.67,8.66,7.25,6.63,7.33,5.9,8.85,7.17,6.01,6.67,6.3,8.5,6.06,7.13,7.6,5.71,6.15",false,"false,true","impc,impc,chembl,chembl"
CHEMBL1845,CHEMBL3707392,2039363,CHEMBL4765991,1,LITERATURE,J Med Chem,2.7690427E7,10.1021/acs.jmedchem.6b00939,131,P35498,Sodium channel protein type I alpha subunit,Homo sapiens,3400.0,nM,=,5.47,false,true,"impc,chembl"
CHEMBL1853,"CHEMBL1680,CHEMBL3421842,CHEMBL262135,CHEMBL1823872","321172,1841279,511465,1173967","CHEMBL4369218,CHEMBL803857,CHEMBL828445,CHEMBL3424505",1,LITERATURE,"ACS Med Chem Lett,J Med Chem,Medchemcomm","1.5828816E7,3.0746066E7,2.5699156E7,9216843.0","10.1021/ml500538a,10.1021/jm960850i,10.1021/jm040794i,10.1039/C8MD00388B",10183,P31391,Somatostatin receptor 4,Homo sapiens,"66.0,300.0,0.08,0.4",nM,=,"9.4,7.18,6.52,10.1",false,"false,true","chemicalProbes,chembl"
CHEMBL1854,CHEMBL4458424,2365433,CHEMBL4323785,1,LITERATURE,J Med Chem,3.1670515E7,10.1021/acs.jmedchem.9b01382,95,P22888,Luteinizing hormone/Choriogonadotropin receptor,Homo sapiens,185.0,nM,=,6.73,true,false,chemicalProbes
CHEMBL1856,CHEMBL710,33679,CHEMBL810001,1,LITERATURE,J Med Chem,8057283.0,10.1021/jm00041a014,120,P31213,Steroid 5-alpha-reductase 2,Homo sapiens,0.18,nM,=,9.74,false,true,"ot_genetics_portal,chemicalProbes,chembl"
