target_chembl_id,drugId,target_chembl_id_moa_aggr,pchembl_value_aggr,max_pchembl_value,median_pchembl_value,drugType,maximumClinicalTrialPhase,isApproved,assay_chembl_id,assay_type,target_organism,target_pref_name,data_validity_comment,data_validity_description,confidence_score,confidence_description,assay_category,target_type,accession,proteinClass,isActive_max,isActive_med,action_type_moa,isInMoA,targetId,isHighQualityProbe,isTherapeuticTarget,isGE,isGE_clinical,isProbe,linkedTargets_count,linkedDiseases_count,action_type_action_type,action_type_description,action_type_parent_type,sources_concated,linkedTargets_rows_concated,linkedDiseases_rows_concated
CHEMBL1835,CHEMBL159,CHEMBL2095182,5.73,5.73,5.73,Small molecule,4.0,true,CHEMBL1909116,B,Homo sapiens,Thromboxane-A synthase,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P24557,Enzyme,TRUE,TRUE,INHIBITOR,false,ENSG00000059377,false,false,true,true,false,15,47,,,,impc,"ENSG00000188229, ENSG00000101162, ENSG00000198033, ENSG00000127824, ENSG00000258947, ENSG00000167552, ENSG00000104833, ENSG00000261456, ENSG00000196230, ENSG00000123416, ENSG00000167553, ENSG00000152086, ENSG00000137267, ENSG00000137285, ENSG00000176014","EFO_0000588, MONDO_0018975, EFO_0000574, MONDO_0008170, EFO_0000681, MONDO_0009348, EFO_0000574, EFO_0000220, MONDO_0001187, EFO_0000691, MONDO_0002898, EFO_0000222, EFO_0004281, MONDO_0004192, MONDO_0004986, EFO_0006818, MONDO_0003751, MONDO_0008315, EFO_0000183, EFO_0000183, EFO_1000318, EFO_0000565, EFO_0002617, EFO_0000389, EFO_0000616, EFO_0003833, EFO_0005543, EFO_0000389, EFO_0000211, MONDO_0002041, MONDO_0008315, MONDO_0008903, MONDO_0002367, MONDO_0004986, EFO_0000756, EFO_1000158, MONDO_0001187, EFO_0000756, MONDO_0008903, EFO_0009907, EFO_0004281, EFO_0001642, MONDO_0004192, EFO_0008528, MONDO_0002974, MONDO_0009348, EFO_0000403"
CHEMBL1974,CHEMBL522892,"CHEMBL2095189, CHEMBL2742, CHEMBL2095227, CHEMBL1936, CHEMBL1974",8.28,8.28,8.28,Small molecule,3.0,false,CHEMBL1050826,B,Homo sapiens,Tyrosine-protein kinase receptor FLT3,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P36888,Kinase,TRUE,TRUE,INHIBITOR,false,ENSG00000122025,false,true,true,true,false,8,25,,,,"uniprot_literature, impc, eva, intogen, chembl, eva_somatic, cancer_gene_census","ENSG00000122025, ENSG00000113721, ENSG00000134853, ENSG00000068078, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404","EFO_0002517, EFO_0000182, MONDO_0008667, EFO_0000222, MONDO_0008315, EFO_1001465, MONDO_0011719, EFO_0001378, MONDO_0007254, MONDO_0001187, EFO_0000231, EFO_0003060, EFO_1000796, EFO_0003060, MONDO_0002108, EFO_0000519, EFO_0000756, MONDO_0001056, MONDO_0004992, EFO_0000349, MONDO_0011962, EFO_0000770, EFO_0000681, EFO_0003863, EFO_0000616"
CHEMBL3192,CHEMBL3621988,"",6.08,6.08,6.08,Small molecule,3.0,false,CHEMBL4387979,B,Homo sapiens,Histone deacetylase 8,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q9BY41,Epigenetic,TRUE,TRUE,,,ENSG00000147099,false,true,true,true,false,,32,,,,"impc, chembl","","MONDO_0019472, EFO_0000096, EFO_0000764, EFO_0005952, EFO_0000403, EFO_0000211, MONDO_0000873, EFO_0000220, EFO_1001951, EFO_0002913, EFO_0000222, EFO_0003060, EFO_0001416, EFO_0000616, MONDO_0002120, EFO_0005922, EFO_0000765, HP_0001873, EFO_0005537, EFO_0003869, EFO_0000180, EFO_0001378, EFO_0000231, EFO_0000209, EFO_0000574, EFO_0000255, EFO_0000621, MONDO_0007254, EFO_0000183, MONDO_0000430, EFO_0000691, MONDO_0001187"
CHEMBL232,CHEMBL611,CHEMBL2094251,9.30,9.30,9.3,Small molecule,4.0,true,CHEMBL3405641,B,Homo sapiens,Alpha-1b adrenergic receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P35368,GPCR,TRUE,TRUE,ANTAGONIST,false,ENSG00000170214,true,true,true,true,true,3,9,,,,"impc, chemicalProbes, chembl","ENSG00000120907, ENSG00000171873, ENSG00000170214","EFO_0000284, EFO_0003914, MONDO_0005180, MONDO_0005148, EFO_0000537, EFO_0000284, EFO_0001645, EFO_0002615, HP_0003124"
CHEMBL3301386,CHEMBL189963,"CHEMBL1907601, CHEMBL2111455",8.05,8.05,8.05,Small molecule,4.0,true,CHEMBL3606993,B,Homo sapiens,CDK6/cyclin D2,,,7,Direct protein complex subunits assigned,,PROTEIN COMPLEX,Q00534,Kinase,TRUE,TRUE,INHIBITOR,false,ENSG00000105810,true,true,true,true,true,3,45,,,,"impc, ot_genetics_portal, chemicalProbes, chembl, cancer_gene_census","ENSG00000110092, ENSG00000105810, ENSG00000135446","EFO_0008528, MONDO_0008170, EFO_0003060, EFO_1001950, EFO_0006318, EFO_0001378, EFO_0003869, EFO_0000305, EFO_0000349, EFO_0000569, EFO_0000616, EFO_0000182, EFO_0005952, MONDO_0007254, MONDO_0008978, EFO_0000574, MONDO_0008315, EFO_0000228, EFO_0000632, EFO_0002626, EFO_0002618, EFO_0004252, EFO_1001469, EFO_0000707, EFO_0000220, EFO_0000174, MONDO_0004992, EFO_1000045, EFO_0000630, EFO_0000637, Orphanet_145, EFO_0000181, MONDO_0011962, EFO_0002517, EFO_0000616, MONDO_0100096, EFO_0000708, EFO_0003086, EFO_0000519, EFO_0006859, EFO_0000681, EFO_1001968, MONDO_0008903, EFO_0000756, EFO_0000222"
CHEMBL228,CHEMBL3233142,"",7.21,7.21,7.21,Small molecule,4.0,true,CHEMBL3243819,B,Homo sapiens,Serotonin transporter,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P31645,Transporter,TRUE,TRUE,,,ENSG00000108576,false,true,true,true,false,,2,,,,"impc, chembl","","MONDO_0005090, HP_0012076"
CHEMBL4105907,CHEMBL1229211,CHEMBL3471,7.75,7.75,7.75,Small molecule,4.0,true,CHEMBL4616034,B,Homo sapiens,Sigma intracellular receptor 2,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q5BJF2,None,TRUE,TRUE,INHIBITOR,false,ENSG00000109084,false,false,true,true,false,0,9,,,,ot_genetics_portal,"","EFO_0000180, EFO_0000763, EFO_0000764, EFO_0001068, MONDO_0004976, EFO_0000180, EFO_0000765, EFO_0000544, EFO_0000764"
CHEMBL4261,CHEMBL686,CHEMBL2094253,5.00,5.00,5.0,Small molecule,4.0,true,CHEMBL1614456,F,Homo sapiens,Hypoxia-inducible factor 1 alpha,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16665,TF,TRUE,TRUE,INHIBITOR,false,ENSG00000100644,false,false,true,true,false,2,5,,,,ot_genetics_portal,"ENSG00000073756, ENSG00000095303","EFO_0005755, EFO_0003843, EFO_0000400, HP_0100607, MP_0001914"
CHEMBL217,CHEMBL392158,"",10.01,10.01,10.01,Small molecule,2.0,false,CHEMBL3265956,B,Homo sapiens,Dopamine D2 receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P14416,GPCR,TRUE,TRUE,,,ENSG00000149295,false,true,true,true,false,,2,,,,"impc, chembl","","EFO_0001074, EFO_0001073"
CHEMBL3717,CHEMBL2105717,"CHEMBL279, CHEMBL3717",7.70,7.70,7.7,Small molecule,4.0,true,CHEMBL4268555,B,Homo sapiens,Hepatocyte growth factor receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P08581,Kinase,TRUE,TRUE,INHIBITOR,false,ENSG00000105976,false,true,true,true,false,2,72,,,,"uniprot_literature, impc, eva, orphanet, intogen, gene2phenotype, clingen, chembl, eva_somatic, uniprot_variants, cancer_gene_census","ENSG00000105976, ENSG00000128052","EFO_0000519, EFO_0000681, EFO_0001075, MONDO_0004992, EFO_0000501, EFO_1001949, EFO_0000640, EFO_0001421, EFO_0003968, EFO_0000239, EFO_0000640, EFO_0000313, EFO_0000616, EFO_1001512, EFO_0000681, MONDO_0007254, EFO_1001968, MONDO_0002974, EFO_0005220, EFO_1001951, EFO_0000326, EFO_0000272, EFO_0000616, EFO_0000673, EFO_1000796, EFO_1001465, EFO_0000389, MONDO_0002120, EFO_0004243, EFO_0002618, EFO_1000251, EFO_0000305, EFO_1000657, MONDO_0011719, EFO_0008528, EFO_0000349, EFO_0000641, EFO_0000222, EFO_0002617, EFO_1000613, MONDO_0004669, MONDO_0001187, EFO_0000519, EFO_1001465, EFO_0003016, EFO_0000756, EFO_0000641, EFO_0000182, EFO_0002892, EFO_0001378, MONDO_0002108, MONDO_0008315, EFO_0000637, MONDO_0002108, MONDO_0004986, EFO_0000707, MONDO_0002367, MONDO_0016642, MONDO_0004992, EFO_0000501, EFO_0003060, EFO_0003863, EFO_0000182, EFO_0003060, EFO_0000335, EFO_0000349, EFO_0008524, EFO_0000673, EFO_1001901, EFO_0002499, MONDO_0015277, EFO_1001961"
CHEMBL1907601,CHEMBL3545083,"CHEMBL4036, CHEMBL301, CHEMBL3055, CHEMBL3116, CHEMBL331, CHEMBL308",8.70,8.70,8.7,Small molecule,1.0,false,CHEMBL3856546,B,Homo sapiens,Cyclin-dependent kinase 4/cyclin D1,,,7,Direct protein complex subunits assigned,,PROTEIN COMPLEX,P11802,Kinase,TRUE,TRUE,INHIBITOR,false,ENSG00000135446,false,true,true,true,false,6,1,,,,"chembl, eva_somatic, cancer_gene_census","ENSG00000170312, ENSG00000136807, ENSG00000123374, ENSG00000164885, ENSG00000134058, ENSG00000135446",EFO_0001642
CHEMBL1946,CHEMBL45,CHEMBL2094268,"9.02, 9.09, 9.47, 9.52, 9.82",9.82,9.47,Small molecule,4.0,true,CHEMBL828325,B,Homo sapiens,Melatonin receptor 1B,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P49286,GPCR,TRUE,TRUE,AGONIST,false,ENSG00000134640,false,true,true,true,false,2,65,,,,"impc, ot_genetics_portal, chembl","ENSG00000168412, ENSG00000134640","EFO_0003843, EFO_0000195, EFO_0000555, MONDO_0001134, HP_0001919, MONDO_0100096, EFO_0000589, EFO_0000616, MONDO_0005090, EFO_0005800, EFO_0005687, EFO_0003888, EFO_0000729, EFO_0000546, HP_0100806, EFO_0003758, EFO_0008568, EFO_0009267, EFO_1000824, EFO_0000275, EFO_0000280, EFO_0003918, HP_0012378, MONDO_0002050, EFO_0002687, HP_0040187, EFO_0000474, EFO_0003756, EFO_0008583, MP_0001914, EFO_1001216, EFO_0000701, MONDO_0002009, EFO_1001904, HP_0100543, EFO_0000649, EFO_0006859, EFO_0003948, EFO_0003928, EFO_1001121, EFO_0009516, MONDO_0024290, MONDO_0005277, EFO_0000756, EFO_0000274, HP_0031217, EFO_0003929, EFO_0001666, MONDO_0005180, HP_0000938, EFO_0005547, EFO_0000400, EFO_0003958, MONDO_0021698, MONDO_0004992, MONDO_0005301, EFO_0009579, EFO_0000199, EFO_0003060, MONDO_0007254, MONDO_0002635, EFO_0004698, MONDO_0005299, EFO_0000537, EFO_0005230"
CHEMBL3038473,CHEMBL445813,CHEMBL3559691,5.55,5.55,5.55,Small molecule,2.0,false,CHEMBL3856514,B,Homo sapiens,CDK7/Cyclin H/MNAT1,,,7,Direct protein complex subunits assigned,,PROTEIN COMPLEX,P51946,None,TRUE,TRUE,INHIBITOR,false,ENSG00000134480,false,false,true,true,false,20,5,,,,ot_genetics_portal,"ENSG00000170312, ENSG00000135446, ENSG00000123374, ENSG00000164885, ENSG00000105810, ENSG00000134058, ENSG00000250506, ENSG00000102225, ENSG00000117266, ENSG00000132964, ENSG00000059758, ENSG00000248333, ENSG00000138395, ENSG00000155111, ENSG00000058091, ENSG00000136807, ENSG00000185324, ENSG00000065883, ENSG00000156345, ENSG00000167258","EFO_0000616, EFO_0001378, EFO_1001469, EFO_0000574, EFO_0000095"
CHEMBL1744525,CHEMBL17289,"",8.70,8.70,8.7,Small molecule,1.0,false,CHEMBL3130658,B,Homo sapiens,Nicotinamide phosphoribosyltransferase,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P43490,Enzyme,TRUE,TRUE,,,ENSG00000105835,false,true,true,true,true,,1,,,,"impc, chemicalProbes, chembl","",EFO_0000616
CHEMBL3251,CHEMBL1215,"CHEMBL2094251, CHEMBL2094251",5.45,5.45,5.45,Small molecule,4.0,true,CHEMBL1614274,F,Homo sapiens,Nuclear factor NF-kappa-B p105 subunit,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P19838,TF,TRUE,TRUE,AGONIST,false,ENSG00000109320,false,true,true,true,false,3,45,,,,"impc, ot_genetics_portal, chembl","ENSG00000120907, ENSG00000171873, ENSG00000170214","EFO_0009688, EFO_0007328, HP_0000989, EFO_0005751, EFO_0000712, HP_0001742, EFO_0006834, HP_0001742, EFO_0006834, EFO_0007533, EFO_0008521, EFO_0000319, EFO_0003956, EFO_0001073, EFO_0000178, EFO_0005251, HP_0011499, EFO_0005252, EFO_0005251, EFO_0000537, EFO_0009552, MONDO_0005129, HP_0100543, MONDO_0005271, EFO_0009523, EFO_0004269, EFO_0003843, EFO_0003966, HP_0002140, EFO_0003956, EFO_0004610, HP_0011950, HP_0000138, EFO_0000616, EFO_0007486, EFO_1000645, EFO_0007214, MONDO_0024355, EFO_1001898, EFO_0007214, EFO_0000544, EFO_0000319, EFO_0004264, MONDO_0024355, EFO_0001358"
CHEMBL1293256,CHEMBL960,CHEMBL1966,"5.10, 5.10",5.10,5.1,Small molecule,4.0,true,CHEMBL1614086,F,Homo sapiens,Thrombopoietin,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P40225,None,TRUE,TRUE,INHIBITOR,false,ENSG00000090534,false,false,true,true,false,1,22,,,,"impc, eva, clingen",ENSG00000102967,"EFO_0000756, MONDO_0007915, EFO_0000764, EFO_0005761, MONDO_0008315, EFO_0001378, EFO_0000616, EFO_0000540, EFO_0003073, MONDO_0100096, MONDO_0005301, EFO_0004991, EFO_1000965, MONDO_0016537, EFO_0008518, EFO_1000158, EFO_1001231, EFO_0003778, MONDO_0007254, EFO_0007187, EFO_0000699, EFO_0000685"
CHEMBL5122,CHEMBL1421,"CHEMBL2363074, CHEMBL1913, CHEMBL1862, CHEMBL2096618, CHEMBL1936, CHEMBL2068",8.85,8.85,8.85,Small molecule,4.0,true,CHEMBL3424164,B,Homo sapiens,Discoidin domain-containing receptor 2,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q16832,Kinase,TRUE,TRUE,INHIBITOR,false,ENSG00000162733,false,true,true,true,false,15,78,,,,"impc, intogen, ot_genetics_portal, chembl, eva_somatic, cancer_gene_census","ENSG00000113721, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000142627","EFO_0000768, EFO_1000956, EFO_0000255, EFO_0000339, EFO_0003884, MONDO_0019469, MONDO_0011719, EFO_0000191, EFO_0000588, MONDO_0019472, EFO_1001469, EFO_0002429, EFO_1000475, MONDO_0004975, MONDO_0018906, EFO_0000770, EFO_1001951, EFO_0000702, MONDO_0000870, EFO_0000095, MONDO_0002087, EFO_0006859, MONDO_0004992, EFO_0005774, EFO_0000708, MONDO_0000873, MONDO_0100096, MONDO_0008903, EFO_0000220, EFO_0000309, EFO_1001465, EFO_0002617, MONDO_0016586, MONDO_0004643, EFO_0000183, EFO_0003869, EFO_0000621, MONDO_0021063, EFO_1000026, EFO_0000565, EFO_0002618, MONDO_0011962, GO_0007568, EFO_0000181, EFO_0000673, EFO_0002918, EFO_0000196, EFO_0003032, EFO_1001993, EFO_0000389, EFO_0001378, EFO_0000182, EFO_0000403, EFO_1000158, MONDO_0008315, EFO_0009441, EFO_0000756, EFO_0000574, MONDO_0100342, EFO_1001051, EFO_0000198, EFO_0003833, EFO_0005952, EFO_1000657, EFO_0003060, EFO_1000654, EFO_0000222, EFO_1000785, MONDO_0008170, EFO_0000305, MONDO_0019471, EFO_0004289, EFO_0000519, MONDO_0003175, EFO_0005221, MONDO_0007254, EFO_0000616, MONDO_0002158"
CHEMBL1293237,CHEMBL184,"CHEMBL1872, CHEMBL1872",6.30,6.30,6.3,Small molecule,4.0,true,CHEMBL1614067,F,Homo sapiens,Bloom syndrome protein,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P54132,None,TRUE,TRUE,INHIBITOR,false,ENSG00000197299,false,false,true,true,false,0,24,,,,"impc, eva, ot_genetics_portal, cancer_gene_census","","EFO_1001347, MONDO_0005301, EFO_0000763, EFO_0001062, EFO_0001062, EFO_1001347, MONDO_0004992, MONDO_0008315, EFO_0000764, EFO_0003086, EFO_0003060, EFO_0000403, EFO_0000764, EFO_1002022, EFO_0007204, EFO_0006862, EFO_0007308, EFO_1001888, EFO_0000094, EFO_0006510, EFO_1002022, EFO_0007282, EFO_0007282, EFO_0000544"
CHEMBL1907604,CHEMBL395091,"CHEMBL2094124, CHEMBL2094124",7.94,7.94,7.94,Small molecule,4.0,true,CHEMBL3636231,B,Homo sapiens,Glutamate NMDA receptor; GRIN1/GRIN2A,,,7,Direct protein complex subunits assigned,,PROTEIN COMPLEX,Q05586,IC,TRUE,TRUE,NEGATIVE ALLOSTERIC MODULATOR,false,ENSG00000176884,false,true,true,true,false,7,12,,,,"impc, chembl","ENSG00000176884, ENSG00000183454, ENSG00000273079, ENSG00000105464, ENSG00000116032, ENSG00000161509, ENSG00000198785","EFO_0003761, EFO_0003761, MONDO_0002009, MONDO_0004992, MONDO_0002009, EFO_0003890, EFO_0005854, EFO_0003843, HP_0000360, MONDO_0002050, EFO_0001421, EFO_0003086"
CHEMBL228,CHEMBL71,"CHEMBL2331075, CHEMBL224, CHEMBL224, CHEMBL2331075",6.92,6.92,6.92,Small molecule,4.0,true,CHEMBL3090829,B,Homo sapiens,Serotonin transporter,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P31645,Transporter,TRUE,TRUE,ANTAGONIST,false,ENSG00000108576,false,true,true,true,false,4,11,,,,"impc, eva, clingen, chembl","ENSG00000149295, ENSG00000151577, ENSG00000069696, ENSG00000102468","EFO_0009267, HP_0002017, MONDO_0021063, EFO_0000519, EFO_0004216, EFO_0005407, MONDO_0005090, MONDO_0100096, EFO_0000677, MONDO_0037939, EFO_0005799"
CHEMBL202,CHEMBL38434,CHEMBL1966,8.74,8.74,8.74,Small molecule,2.0,false,CHEMBL4006962,B,Homo sapiens,Dihydrofolate reductase,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P00374,Enzyme,TRUE,TRUE,INHIBITOR,false,ENSG00000228716,false,true,true,true,false,1,3,,,,"impc, chembl",ENSG00000102967,"MONDO_0100096, MONDO_0100096, EFO_0000222"
CHEMBL4261,CHEMBL12856,CHEMBL241,5.40,5.40,5.4,Small molecule,4.0,true,CHEMBL1614456,F,Homo sapiens,Hypoxia-inducible factor 1 alpha,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16665,TF,TRUE,TRUE,INHIBITOR,false,ENSG00000100644,false,false,true,true,false,1,1,,,,"impc, eva, cancer_gene_census",ENSG00000172572,EFO_0000319
