accession,chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,targetID,isMoA,linkedTargets,id,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget,proteinClass,isActive
P35218,CHEMBL1055,134333,CHEMBL1029733,1,LITERATURE,Bioorg Med Chem,1.9119014E7,10.1016/j.bmc.2008.12.023,11042,Carbonic anhydrase VA,CHEMBL4789,Homo sapiens,917.0,nM,=,6.04,ENSG00000174990,false,"{[ENSG00000070915], 1}",CHEMBL1055,CHEMBL1055,P35218,[ot_genetics_portal],false,false,Enzyme,true
P04035,CHEMBL1064,138562,CHEMBL4037104,1,LITERATURE,J Med Chem,2.8850227E7,10.1021/acs.jmedchem.7b00315,24,HMG-CoA reductase,CHEMBL402,Homo sapiens,0.9,nM,=,9.05,ENSG00000113161,true,"{[ENSG00000113161], 1}",CHEMBL1064,CHEMBL1064,P04035,"[impc, ot_genetics_portal, chemicalProbes, chembl]",false,true,Enzyme,true
P10632,CHEMBL1064,138562,CHEMBL3530853,1,LITERATURE,Drug Metab Dispos,2.2328583E7,10.1124/dmd.111.043505,10163,Cytochrome P450 2C8,CHEMBL3721,Homo sapiens,3700.0,nM,=,5.43,ENSG00000138115,false,"{[ENSG00000113161], 1}",CHEMBL1064,CHEMBL1064,P10632,[cancer_gene_census],false,false,None,true
P52333,CHEMBL1079593,611731,CHEMBL4416473,1,LITERATURE,J Med Chem,3.1609613E7,10.1021/acs.jmedchem.9b00533,10849,Tyrosine-protein kinase JAK3,CHEMBL2148,Homo sapiens,1.7,nM,=,8.77,ENSG00000105639,false,"{[ENSG00000145675, ENSG00000051382, ENSG00000105851, ENSG00000121879, ENSG00000105647, ENSG00000171608, ENSG00000141506, ENSG00000117461, ENSG00000198793], 9}",CHEMBL1079593,CHEMBL1079593,P52333,"[impc, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,true
P07288,CHEMBL1082407,630886,CHEMBL4685677,1,LITERATURE,Eur J Med Chem,3.211436E7,10.1016/j.ejmech.2020.112156,10373,Prostate specific antigen,CHEMBL2099,Homo sapiens,130.0,nM,=,6.89,ENSG00000142515,false,"{[ENSG00000169083], 1}",CHEMBL1082407,CHEMBL1082407,P07288,[ot_genetics_portal],false,false,Enzyme,true
P27487,CHEMBL1090,149095,CHEMBL1045391,1,LITERATURE,J Med Chem,2.0000418E7,10.1021/jm901590f,11140,Dipeptidyl peptidase IV,CHEMBL284,Homo sapiens,62.0,nM,=,7.21,ENSG00000197635,false,"{[], 0}",CHEMBL1090,CHEMBL1090,P27487,"[impc, chembl]",false,true,Enzyme,true
P11362,CHEMBL1090479,622556,CHEMBL1104803,1,LITERATURE,J Med Chem,2.0420387E7,10.1021/jm901870q,10266,Fibroblast growth factor receptor 1,CHEMBL3650,Homo sapiens,76.0,nM,=,7.12,ENSG00000077782,false,"{[ENSG00000105146, ENSG00000178999], 2}",CHEMBL1090479,CHEMBL1090479,P11362,"[impc, eva, intogen, gene2phenotype, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,false
P07900,CHEMBL109480,183934,CHEMBL1100282,1,LITERATURE,J Med Chem,2.0055425E7,10.1021/jm9004708,11213,Heat shock protein HSP 90-alpha,CHEMBL3880,Homo sapiens,4.6,nM,=,8.34,ENSG00000080824,true,"{[ENSG00000080824, ENSG00000096384], 2}",CHEMBL109480,CHEMBL109480,P07900,"[impc, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,None,true
O15244,CHEMBL11,605,CHEMBL2154120,1,LITERATURE,J Med Chem,2.1599003E7,10.1021/jm2001629,104063,Solute carrier family 22 member 2,CHEMBL1743122,Homo sapiens,600.0,nM,=,6.22,ENSG00000112499,false,"{[ENSG00000103546, ENSG00000108576], 2}",CHEMBL11,CHEMBL11,O15244,[ot_genetics_portal],false,false,Transporter,true
P31645,CHEMBL11,605,CHEMBL2394910,1,LITERATURE,Eur J Med Chem,2.3466604E7,10.1016/j.ejmech.2013.01.044,121,Serotonin transporter,CHEMBL228,Homo sapiens,0.52,nM,=,9.28,ENSG00000108576,true,"{[ENSG00000103546, ENSG00000108576], 2}",CHEMBL11,CHEMBL11,P31645,"[impc, chembl]",false,true,Transporter,true
Q12809,CHEMBL111,16088,CHEMBL1816994,1,LITERATURE,Bioorg Med Chem Lett,2.1741835E7,10.1016/j.bmcl.2011.06.017,165,HERG,CHEMBL240,Homo sapiens,2790.0,nM,=,5.55,ENSG00000055118,false,"{[ENSG00000118432], 1}",CHEMBL111,CHEMBL111,Q12809,"[uniprot_literature, impc, eva, orphanet, ot_genetics_portal, gene2phenotype, clingen, chembl, eva_somatic, uniprot_variants]",false,true,IC,true
P08908,CHEMBL1112,155006,CHEMBL4314362,1,LITERATURE,Eur J Med Chem,3.1586817E7,10.1016/j.ejmech.2019.111736,51,Serotonin 1a (5-HT1a) receptor,CHEMBL214,Homo sapiens,1.7,nM,=,8.77,ENSG00000178394,true,"{[ENSG00000178394, ENSG00000149295, ENSG00000102468], 3}",CHEMBL1112,CHEMBL1112,P08908,"[impc, chembl]",false,true,GPCR,true
P08173,CHEMBL1113,155045,CHEMBL1909173,15,DRUGMATRIX,,,,214,Muscarinic acetylcholine receptor M4,CHEMBL1821,Homo sapiens,242.0,nM,=,6.62,ENSG00000180720,false,"{[ENSG00000149295, ENSG00000151577, ENSG00000169676, ENSG00000069696, ENSG00000184845, ENSG00000108576, ENSG00000103546], 7}",CHEMBL1113,CHEMBL1113,P08173,[ot_genetics_portal],false,false,GPCR,true
P02144,CHEMBL112,16450,CHEMBL2411426,1,LITERATURE,ACS Med Chem Lett,2.448273E7,10.1021/ml4000904,107627,Myoglobin,CHEMBL2406892,Homo sapiens,2300.0,nM,=,5.64,ENSG00000198125,false,"{[ENSG00000073756, ENSG00000095303, ENSG00000196689, ENSG00000117480], 4}",CHEMBL112,CHEMBL112,P02144,[impc],false,false,None,true
Q99250,CHEMBL1123,165774,CHEMBL806152,1,LITERATURE,J Med Chem,2579237.0,10.1021/jm00381a019,104837,"Sodium channel alpha subunits; brain (Types I, II, III)",CHEMBL2096682,Homo sapiens,28000.0,nM,=,4.55,ENSG00000136531,false,"{[ENSG00000133019, ENSG00000168539], 2}",CHEMBL1123,CHEMBL1123,Q99250,"[impc, chembl]",false,true,IC,false
P29274,CHEMBL113,16485,CHEMBL2417040,1,LITERATURE,Bioorg Med Chem Lett,2.3200243E7,10.1016/j.bmcl.2012.10.112,252,Adenosine A2a receptor,CHEMBL251,Homo sapiens,2480.0,nM,=,5.61,ENSG00000128271,true,"{[ENSG00000163485, ENSG00000170425, ENSG00000282608, ENSG00000128271], 4}",CHEMBL113,CHEMBL113,P29274,"[impc, ot_genetics_portal, chembl]",false,true,GPCR,false
Q9NPD5,CHEMBL1161,187696,CHEMBL3039493,1,LITERATURE,Mol Pharmacol,2.3571415E7,10.1124/mol.112.084152,104062,Solute carrier organic anion transporter family member 1B3,CHEMBL1743121,Homo sapiens,870.0,nM,=,6.06,ENSG00000111700,false,"{[ENSG00000113580], 1}",CHEMBL1161,CHEMBL1161,Q9NPD5,[impc],false,false,Transporter,false
Q9Y6L6,CHEMBL1161,187696,CHEMBL3039490,1,LITERATURE,Mol Pharmacol,2.3571415E7,10.1124/mol.112.084152,103947,Solute carrier organic anion transporter family member 1B1,CHEMBL1697668,Homo sapiens,1620.0,nM,=,5.79,ENSG00000134538,false,"{[ENSG00000113580], 1}",CHEMBL1161,CHEMBL1161,Q9Y6L6,[impc],false,false,Transporter,false
P05067,CHEMBL116438,190171,CHEMBL907197,1,LITERATURE,J Med Chem,1.7004725E7,10.1021/jm0607193,10656,Beta amyloid A4 protein,CHEMBL2487,Homo sapiens,0.208,nM,=,9.68,ENSG00000142192,false,,CHEMBL116438,CHEMBL116438,P05067,"[uniprot_literature, impc, eva, orphanet, ot_genetics_portal, chembl, uniprot_variants]",false,true,None,true
P14780,CHEMBL116438,190171,CHEMBL982420,1,LITERATURE,Bioorg Med Chem,1.9128977E7,10.1016/j.bmc.2008.12.029,12592,Matrix metalloproteinase 9,CHEMBL321,Homo sapiens,8500.0,nM,=,5.07,ENSG00000100985,false,,CHEMBL116438,CHEMBL116438,P14780,"[impc, ot_genetics_portal, chembl]",false,true,Enzyme,false
P15144,CHEMBL116438,190171,CHEMBL2415687,1,LITERATURE,Bioorg Med Chem Lett,2.3860593E7,10.1016/j.bmcl.2013.06.058,243,Aminopeptidase N,CHEMBL1907,Homo sapiens,10000.0,nM,=,5.0,ENSG00000166825,false,,CHEMBL116438,CHEMBL116438,P15144,"[impc, chembl]",false,true,Enzyme,false
Q04759,CHEMBL116438,190171,CHEMBL1072761,1,LITERATURE,Bioorg Med Chem,2.0100661E7,10.1016/j.bmc.2009.12.075,12665,Protein kinase C theta,CHEMBL3920,Homo sapiens,11080.0,nM,=,4.96,ENSG00000065675,false,,CHEMBL116438,CHEMBL116438,Q04759,"[impc, ot_genetics_portal, chembl, eva_somatic]",false,true,Kinase,false
P06241,CHEMBL1171837,649637,CHEMBL4721783,1,LITERATURE,ACS Med Chem Lett,2.993798E7,10.1021/acsmedchemlett.8b00081,11755,Tyrosine-protein kinase FYN,CHEMBL1841,Homo sapiens,0.36,nM,=,9.44,ENSG00000010810,false,"{[ENSG00000097007, ENSG00000186716], 2}",CHEMBL1171837,CHEMBL1171837,P06241,"[impc, chembl]",false,true,Kinase,true
P09619,CHEMBL1171837,649637,CHEMBL4002773,1,LITERATURE,Eur J Med Chem,2.7750146E7,10.1016/j.ejmech.2016.10.003,197,Platelet-derived growth factor receptor beta,CHEMBL1913,Homo sapiens,1.2,nM,=,8.92,ENSG00000113721,false,"{[ENSG00000097007, ENSG00000186716], 2}",CHEMBL1171837,CHEMBL1171837,P09619,"[uniprot_literature, impc, eva, orphanet, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,true
P23458,CHEMBL1171837,649637,CHEMBL4721782,1,LITERATURE,ACS Med Chem Lett,2.993798E7,10.1021/acsmedchemlett.8b00081,10919,Tyrosine-protein kinase JAK1,CHEMBL2835,Homo sapiens,32.2,nM,=,7.49,ENSG00000162434,false,"{[ENSG00000097007, ENSG00000186716], 2}",CHEMBL1171837,CHEMBL1171837,P23458,"[impc, intogen, ot_genetics_portal, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
Q9H0J9,CHEMBL1173055,651088,CHEMBL3995369,1,LITERATURE,J Med Chem,2.8001384E7,10.1021/acs.jmedchem.6b00990,107665,Poly [ADP-ribose] polymerase 12,CHEMBL2429709,Homo sapiens,6650.0,nM,=,5.18,ENSG00000059378,false,"{[ENSG00000143799, ENSG00000041880, ENSG00000129484], 3}",CHEMBL1173055,CHEMBL1173055,Q9H0J9,[impc],false,false,Enzyme,false
P06239,CHEMBL1173655,650126,CHEMBL1908710,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10140,Tyrosine-protein kinase LCK,CHEMBL258,Homo sapiens,570.0,nM,=,6.24,ENSG00000182866,false,"{[ENSG00000178568, ENSG00000146648, ENSG00000141736], 3}",CHEMBL1173655,CHEMBL1173655,P06239,"[impc, chembl, cancer_gene_census]",false,true,Kinase,false
P42681,CHEMBL1173655,650126,CHEMBL1908608,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,100424,Tyrosine-protein kinase TXK,CHEMBL4367,Homo sapiens,3100.0,nM,=,5.51,ENSG00000074966,false,"{[ENSG00000178568, ENSG00000146648, ENSG00000141736], 3}",CHEMBL1173655,CHEMBL1173655,P42681,"[ot_genetics_portal, chembl]",false,true,Kinase,false
P45984,CHEMBL1173655,650126,CHEMBL1908414,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,11407,c-Jun N-terminal kinase 2,CHEMBL4179,Homo sapiens,2100.0,nM,=,5.68,ENSG00000050748,false,"{[ENSG00000178568, ENSG00000146648, ENSG00000141736], 3}",CHEMBL1173655,CHEMBL1173655,P45984,"[impc, chembl]",false,true,Kinase,false
P08514,CHEMBL1174,191902,CHEMBL841608,1,LITERATURE,J Med Chem,1.0999999E7,10.1021/jm000022w,104685,Integrin alpha-IIb/beta-3,CHEMBL2093869,Homo sapiens,140.0,nM,=,6.85,ENSG00000005961,true,"{[ENSG00000259207, ENSG00000005961], 2}",CHEMBL1174,CHEMBL1174,P08514,"[impc, chembl]",false,true,None,true
P21728,CHEMBL118,18694,CHEMBL1909139,15,DRUGMATRIX,,,,88,Dopamine D1 receptor,CHEMBL2056,Homo sapiens,13997.0,nM,=,4.85,ENSG00000184845,false,"{[ENSG00000073756], 1}",CHEMBL118,CHEMBL118,P21728,"[impc, chembl]",false,true,GPCR,false
P31645,CHEMBL118,18694,CHEMBL1909109,15,DRUGMATRIX,,,,121,Serotonin transporter,CHEMBL228,Homo sapiens,3334.0,nM,=,5.48,ENSG00000108576,false,"{[ENSG00000073756], 1}",CHEMBL118,CHEMBL118,P31645,"[impc, eva, chembl]",false,true,Transporter,false
P35372,CHEMBL1186579,660529,CHEMBL5049526,1,LITERATURE,J Med Chem,3.5255683E7,10.1021/acs.jmedchem.1c02185,129,Mu opioid receptor,CHEMBL233,Homo sapiens,5.5,nM,=,8.26,ENSG00000112038,true,"{[ENSG00000112038], 1}",CHEMBL1186579,CHEMBL1186579,P35372,"[ot_genetics_portal, chembl]",false,true,GPCR,true
P14867,CHEMBL12,721,CHEMBL861815,1,LITERATURE,J Med Chem,1.6610795E7,10.1021/jm058057p,105087,GABA A receptor alpha-1/beta-1/gamma-2,CHEMBL2111392,Homo sapiens,12.0,nM,=,7.92,ENSG00000022355,true,"{[ENSG00000022355, ENSG00000145864, ENSG00000113327, ENSG00000166206, ENSG00000109158, ENSG00000182256, ENSG00000268089, ENSG00000011677, ENSG00000094755, ENSG00000187730, ENSG00000163285, ENSG00000163288, ENSG00000102287, ENSG00000151834, ENSG00000186297, ENSG00000145863], 16}",CHEMBL12,CHEMBL12,P14867,"[uniprot_literature, impc, eva, orphanet, gene2phenotype, clingen, chembl, uniprot_variants]",false,true,IC,true
P14867,CHEMBL12,721,CHEMBL4403718,1,LITERATURE,J Med Chem,3.1738537E7,10.1021/acs.jmedchem.9b01312,74,GABA receptor alpha-1 subunit,CHEMBL1962,Homo sapiens,16.0,nM,=,7.8,ENSG00000022355,true,"{[ENSG00000022355, ENSG00000145864, ENSG00000113327, ENSG00000166206, ENSG00000109158, ENSG00000182256, ENSG00000268089, ENSG00000011677, ENSG00000094755, ENSG00000187730, ENSG00000163285, ENSG00000163288, ENSG00000102287, ENSG00000151834, ENSG00000186297, ENSG00000145863], 16}",CHEMBL12,CHEMBL12,P14867,"[uniprot_literature, impc, eva, orphanet, gene2phenotype, clingen, chembl, uniprot_variants]",false,true,IC,true
P14867,CHEMBL12,721,CHEMBL677847,1,LITERATURE,Bioorg Med Chem Lett,1.0890169E7,10.1016/s0960-894x(00)00245-6,104757,GABA-A receptor; alpha-1/beta-2/gamma-2,CHEMBL2095172,Homo sapiens,12.0,nM,=,7.92,ENSG00000022355,true,"{[ENSG00000022355, ENSG00000145864, ENSG00000113327, ENSG00000166206, ENSG00000109158, ENSG00000182256, ENSG00000268089, ENSG00000011677, ENSG00000094755, ENSG00000187730, ENSG00000163285, ENSG00000163288, ENSG00000102287, ENSG00000151834, ENSG00000186297, ENSG00000145863], 16}",CHEMBL12,CHEMBL12,P14867,"[uniprot_literature, impc, eva, orphanet, gene2phenotype, clingen, chembl, uniprot_variants]",false,true,IC,true
P47869,CHEMBL12,721,CHEMBL829005,1,LITERATURE,J Med Chem,1.574318E7,10.1021/jm040883v,104712,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL2094130,Homo sapiens,6.6,nM,=,8.18,ENSG00000151834,true,"{[ENSG00000022355, ENSG00000145864, ENSG00000113327, ENSG00000166206, ENSG00000109158, ENSG00000182256, ENSG00000268089, ENSG00000011677, ENSG00000094755, ENSG00000187730, ENSG00000163285, ENSG00000163288, ENSG00000102287, ENSG00000151834, ENSG00000186297, ENSG00000145863], 16}",CHEMBL12,CHEMBL12,P47869,"[eva, orphanet, ot_genetics_portal, chembl]",false,true,IC,true
P47869,CHEMBL12,721,CHEMBL4403717,1,LITERATURE,J Med Chem,3.1738537E7,10.1021/acs.jmedchem.9b01312,12770,GABA receptor alpha-2 subunit,CHEMBL4956,Homo sapiens,17.0,nM,=,7.77,ENSG00000151834,true,"{[ENSG00000022355, ENSG00000145864, ENSG00000113327, ENSG00000166206, ENSG00000109158, ENSG00000182256, ENSG00000268089, ENSG00000011677, ENSG00000094755, ENSG00000187730, ENSG00000163285, ENSG00000163288, ENSG00000102287, ENSG00000151834, ENSG00000186297, ENSG00000145863], 16}",CHEMBL12,CHEMBL12,P47869,"[eva, orphanet, ot_genetics_portal, chembl]",false,true,IC,true
Q13936,CHEMBL12,721,CHEMBL3436167,1,LITERATURE,Sci Rep,2.3812503E7,10.1038/srep02100,104801,Voltage-gated L-type calcium channel,CHEMBL2095229,Homo sapiens,30500.0,nM,=,4.52,ENSG00000151067,false,"{[ENSG00000022355, ENSG00000145864, ENSG00000113327, ENSG00000166206, ENSG00000109158, ENSG00000182256, ENSG00000268089, ENSG00000011677, ENSG00000094755, ENSG00000187730, ENSG00000163285, ENSG00000163288, ENSG00000102287, ENSG00000151834, ENSG00000186297, ENSG00000145863], 16}",CHEMBL12,CHEMBL12,Q13936,"[eva, ot_genetics_portal, chembl]",false,true,IC,false
Q14524,CHEMBL1200606,674557,CHEMBL3636866,1,LITERATURE,Bioorg Med Chem Lett,2.6358159E7,10.1016/j.bmcl.2015.09.005,11480,Sodium channel protein type V alpha subunit,CHEMBL1980,Homo sapiens,7800.0,nM,=,5.11,ENSG00000183873,true,"{[ENSG00000144285, ENSG00000183873, ENSG00000007314, ENSG00000136546, ENSG00000136531, ENSG00000169432, ENSG00000153253, ENSG00000168356, ENSG00000196876, ENSG00000185313], 10}",CHEMBL1200606,CHEMBL1200606,Q14524,"[impc, chembl]",false,true,IC,true
P00742,CHEMBL1200644,674595,CHEMBL5161531,1,LITERATURE,Eur J Med Chem,3.5279609E7,10.1016/j.ejmech.2022.114256,194,Coagulation factor X,CHEMBL244,Homo sapiens,99.6,nM,=,7.0,ENSG00000126218,false,"{[ENSG00000117601], 1}",CHEMBL1200644,CHEMBL1200644,P00742,"[ot_genetics_portal, chembl]",false,true,Enzyme,true
P41180,CHEMBL1200776,674727,CHEMBL1261768,1,LITERATURE,Bioorg Med Chem Lett,2.0727747E7,10.1016/j.bmcl.2010.07.077,282,Calcium sensing receptor,CHEMBL1878,Homo sapiens,19.95,nM,=,7.7,ENSG00000036828,true,"{[ENSG00000036828], 1}",CHEMBL1200776,CHEMBL1200776,P41180,"[impc, chembl]",false,true,GPCR,true
P23415,CHEMBL1200969,674920,CHEMBL3423809,1,LITERATURE,J Med Chem,2.5790278E7,10.1021/jm501873p,102688,Glycine receptor subunit alpha-1,CHEMBL5845,Homo sapiens,330.0,nM,=,6.48,ENSG00000145888,false,"{[ENSG00000145545, ENSG00000277893, ENSG00000128039], 3}",CHEMBL1200969,CHEMBL1200969,P23415,"[impc, chembl]",false,true,IC,true
P31645,CHEMBL1201203,675154,CHEMBL801200,1,LITERATURE,J Med Chem,8558504.0,10.1021/jm950463t,121,Serotonin transporter,CHEMBL228,Homo sapiens,24100.0,nM,=,4.62,ENSG00000108576,false,"{[ENSG00000168539], 1}",CHEMBL1201203,CHEMBL1201203,P31645,"[impc, chembl]",false,true,Transporter,false
P04626,CHEMBL1230609,692959,CHEMBL1908501,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,188,Receptor protein-tyrosine kinase erbB-2,CHEMBL1824,Homo sapiens,580.0,nM,=,6.24,ENSG00000141736,false,"{[ENSG00000120156, ENSG00000105976, ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000122025, ENSG00000102755, ENSG00000037280, ENSG00000128052], 9}",CHEMBL1230609,CHEMBL1230609,P04626,"[impc, eva, intogen, ot_genetics_portal, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,false
P08581,CHEMBL1230609,692959,CHEMBL3857917,1,LITERATURE,J Med Chem,2.7299736E7,10.1021/acs.jmedchem.6b00472,11451,Hepatocyte growth factor receptor,CHEMBL3717,Homo sapiens,0.4,nM,=,9.4,ENSG00000105976,true,"{[ENSG00000120156, ENSG00000105976, ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000122025, ENSG00000102755, ENSG00000037280, ENSG00000128052], 9}",CHEMBL1230609,CHEMBL1230609,P08581,"[uniprot_literature, impc, eva, orphanet, intogen, gene2phenotype, clingen, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,true
P21709,CHEMBL1230609,692959,CHEMBL1908705,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101340,Ephrin type-A receptor 1,CHEMBL5810,Homo sapiens,6.2,nM,=,8.21,ENSG00000146904,false,"{[ENSG00000120156, ENSG00000105976, ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000122025, ENSG00000102755, ENSG00000037280, ENSG00000128052], 9}",CHEMBL1230609,CHEMBL1230609,P21709,"[impc, chembl]",false,true,Kinase,true
Q8TBX8,CHEMBL1230609,692959,CHEMBL1908831,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,104126,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,CHEMBL1770034,Homo sapiens,28.0,nM,=,7.55,ENSG00000166908,false,"{[ENSG00000120156, ENSG00000105976, ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000122025, ENSG00000102755, ENSG00000037280, ENSG00000128052], 9}",CHEMBL1230609,CHEMBL1230609,Q8TBX8,[impc],false,false,Kinase,false
Q9BQI3,CHEMBL1230609,692959,CHEMBL1908777,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,102667,Eukaryotic translation initiation factor 2-alpha kinase 1,CHEMBL6029,Homo sapiens,980.0,nM,=,6.01,ENSG00000086232,false,"{[ENSG00000120156, ENSG00000105976, ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000122025, ENSG00000102755, ENSG00000037280, ENSG00000128052], 9}",CHEMBL1230609,CHEMBL1230609,Q9BQI3,[impc],false,false,Kinase,false
