drugId,target_chembl_id,pchembl_value_aggr,max_pchembl_value,median_pchembl_value,drugType,maximumClinicalTrialPhase,isApproved,assay_chembl_id,assay_type,target_organism,target_pref_name,data_validity_comment,data_validity_description,confidence_score,confidence_description,assay_category,target_type,accession,proteinClass,isActive_max,isActive_med,action_type_moa_aggr,target_chembl_id_moa_aggr,isInMoA,targetId,isHighQualityProbe,isTherapeuticTarget,isGE,isGE_clinical,isProbe,linkedTargets_count,linkedDiseases_count,action_type_action_type,action_type_description,action_type_parent_type,sources_concated,linkedTargets_rows_concated,linkedDiseases_rows_concated,related_target_chembl_id,accession_related
CHEMBL99,CHEMBL4081,"7.52, 7.70",7.70,7.52,Small molecule,1.0,false,CHEMBL1004861,B,Homo sapiens,Coagulation factor III,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P13726,None,TRUE,TRUE,"","",false,ENSG00000117525,false,true,true,true,false,,1,,,,"impc, chembl","",MONDO_0004992,CHEMBL2095194,P08709
CHEMBL567,CHEMBL3155,7.64,7.64,7.64,Small molecule,4.0,true,CHEMBL619854,B,Homo sapiens,Serotonin 7 (5-HT7) receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P34969,GPCR,TRUE,TRUE,ANTAGONIST,CHEMBL217,false,ENSG00000148680,false,true,false,true,false,1,7,,,,chembl,ENSG00000149295,"HP_0002017, HP_0000713, EFO_0005230, EFO_0002610, MONDO_0005090, MONDO_0002050, EFO_0005407",CHEMBL2096904,P30939
CHEMBL3,CHEMBL2492,"5.52, 4.62",5.52,4.62,Small molecule,4.0,true,CHEMBL2184685,B,Homo sapiens,Neuronal acetylcholine receptor protein alpha-7 subunit,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P36544,IC,TRUE,TRUE,AGONIST,CHEMBL1907589,false,ENSG00000175344,false,true,true,true,false,2,30,,,,"impc, chembl","ENSG00000160716, ENSG00000101204","EFO_0003768, HP_0100543, MONDO_0005180, GO_0007568, EFO_0004329, EFO_0002610, MONDO_0004647, MONDO_0019338, MONDO_0004938, EFO_0003888, EFO_0000691, EFO_0003144, MONDO_0002050, EFO_0003768, MONDO_0005090, EFO_0000341, MONDO_0008903, MONDO_0100096, EFO_0001072, MONDO_0002050, EFO_0000694, MONDO_0018076, DOID_13406, EFO_0004888, EFO_0000546, EFO_0000313, EFO_0004319, MONDO_0002974, EFO_0007191, EFO_0003768","CHEMBL4804182, CHEMBL4524133","P17787, P02708"
CHEMBL72,CHEMBL240,"5.82, 5.86",5.86,5.82,Small molecule,4.0,true,CHEMBL766814,B,Homo sapiens,HERG,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q12809,IC,TRUE,TRUE,INHIBITOR,CHEMBL222,false,ENSG00000055118,false,true,false,true,false,1,16,,,,chembl,ENSG00000103546,"EFO_0003761, MONDO_0002009, EFO_0004234, EFO_0003918, EFO_0002610, EFO_0001358, MONDO_0002050, MONDO_0007079, HP_0011868, EFO_0000702, MONDO_0004992, MONDO_0010726, EFO_0003761, EFO_0003948, HP_0003418, MONDO_0002050","CHEMBL4106188, CHEMBL2362996","P51787, Q12809"
CHEMBL443684,CHEMBL4361,6.30,6.30,6.3,Small molecule,3.0,false,CHEMBL3822342,B,Homo sapiens,Induced myeloid leukemia cell differentiation protein Mcl-1,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q07820,None,TRUE,TRUE,INHIBITOR,"CHEMBL4625, CHEMBL4677, CHEMBL4860",false,ENSG00000143384,false,true,true,true,false,4,14,,,,"impc, chembl","ENSG00000258643, ENSG00000129473, ENSG00000171791, ENSG00000171552","MONDO_0008315, MONDO_0000873, MONDO_0008170, EFO_0000220, EFO_0004251, EFO_0000616, EFO_0000095, EFO_0000702, EFO_0000403, EFO_0000222, EFO_0001642, EFO_0003060, EFO_0002430, MONDO_0004992","CHEMBL3885523, CHEMBL3430886, CHEMBL4523712, CHEMBL3885515, CHEMBL3430887",Q07820
CHEMBL135,CHEMBL1293232,8.85,8.85,8.85,Small molecule,4.0,true,CHEMBL1613842,F,Homo sapiens,Survival motor neuron protein,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16637,Epigenetic,TRUE,TRUE,AGONIST,CHEMBL206,false,ENSG00000205571,false,true,true,true,false,1,50,,,,"impc, chembl",ENSG00000091831,"EFO_0003103, EFO_0009314, MONDO_0005147, MONDO_0002146, MONDO_0005148, EFO_0001358, MONDO_0005301, HP_0031217, EFO_0005204, EFO_0000731, EFO_1000906, EFO_0000545, EFO_1000096, EFO_0003843, EFO_0000305, HP_0008209, EFO_0004714, EFO_0010269, HP_0030016, EFO_0005411, EFO_0004243, MONDO_0005351, EFO_1001249, EFO_1000859, EFO_1001375, MONDO_0007254, HP_0100607, EFO_0000764, MONDO_0002050, Orphanet_145, EFO_0001663, MONDO_0008315, MONDO_0005090, MONDO_0005277, MONDO_0001410, EFO_1001271, MONDO_0100096, EFO_0003882, EFO_0003922, EFO_0001065, EFO_0000180, EFO_0001073, EFO_0003914, EFO_0003869, EFO_0000660, HP_0000938, GO_0007568, MONDO_0004975, EFO_0007453, MONDO_0019499","",""
CHEMBL135,CHEMBL1293232,8.85,8.85,8.85,Small molecule,4.0,true,CHEMBL1613842,F,Homo sapiens,Survival motor neuron protein,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16637,Epigenetic,TRUE,TRUE,AGONIST,CHEMBL206,false,ENSG00000172062,false,false,true,true,false,1,50,,,,impc,ENSG00000091831,"EFO_0003103, EFO_0009314, MONDO_0005147, MONDO_0002146, MONDO_0005148, EFO_0001358, MONDO_0005301, HP_0031217, EFO_0005204, EFO_0000731, EFO_1000906, EFO_0000545, EFO_1000096, EFO_0003843, EFO_0000305, HP_0008209, EFO_0004714, EFO_0010269, HP_0030016, EFO_0005411, EFO_0004243, MONDO_0005351, EFO_1001249, EFO_1000859, EFO_1001375, MONDO_0007254, HP_0100607, EFO_0000764, MONDO_0002050, Orphanet_145, EFO_0001663, MONDO_0008315, MONDO_0005090, MONDO_0005277, MONDO_0001410, EFO_1001271, MONDO_0100096, EFO_0003882, EFO_0003922, EFO_0001065, EFO_0000180, EFO_0001073, EFO_0003914, EFO_0003869, EFO_0000660, HP_0000938, GO_0007568, MONDO_0004975, EFO_0007453, MONDO_0019499","",""
CHEMBL99,CHEMBL3192,"6.51, 6.19",6.51,6.19,Small molecule,1.0,false,CHEMBL3794868,B,Homo sapiens,Histone deacetylase 8,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q9BY41,Epigenetic,TRUE,TRUE,"","",false,ENSG00000147099,false,true,true,true,false,,1,,,,"impc, chembl","",MONDO_0004992,"CHEMBL3885589, CHEMBL2093865, CHEMBL4523988, CHEMBL3038483",Q13547
CHEMBL667,CHEMBL2492,5.40,5.40,5.4,Small molecule,4.0,true,CHEMBL896286,F,Homo sapiens,Neuronal acetylcholine receptor protein alpha-7 subunit,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P36544,IC,TRUE,TRUE,AGONIST,CHEMBL245,false,ENSG00000175344,false,true,false,true,false,1,11,,,,chembl,ENSG00000133019,"EFO_0004272, EFO_0000764, MONDO_0005148, EFO_0001073, HP_0000616, MONDO_0005041, MP_0001845, MONDO_0011382, EFO_0001645, EFO_0000556, MONDO_0005129","CHEMBL4804182, CHEMBL4524133","P17787, P02708"
CHEMBL535,CHEMBL5671,8.20,8.20,8.2,Small molecule,4.0,true,CHEMBL4199319,B,Homo sapiens,Protein delta homolog 1,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P80370,None,TRUE,TRUE,INHIBITOR,"CHEMBL2095227, CHEMBL1974, CHEMBL1844, CHEMBL2041, CHEMBL2095189, CHEMBL1936",false,ENSG00000185559,false,false,true,true,false,9,113,,,,"impc, ot_genetics_portal","ENSG00000165731, ENSG00000113721, ENSG00000134853, ENSG00000157404, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000182578, ENSG00000122025","EFO_0000222, EFO_0000313, MONDO_0011719, MONDO_0003268, EFO_0000181, EFO_0005221, EFO_0000228, EFO_1000251, MONDO_0002367, EFO_0002499, EFO_0000349, EFO_0006861, MONDO_0001056, MONDO_0044926, EFO_1000581, EFO_0000641, EFO_0000640, MONDO_0004192, EFO_0000640, EFO_0003869, EFO_0000673, EFO_0007331, EFO_0000681, EFO_0000702, EFO_0000514, EFO_0002617, MONDO_0015277, EFO_0000294, EFO_0000095, EFO_0000673, EFO_0000220, EFO_0000403, MONDO_0002367, EFO_0003897, EFO_0003869, MONDO_0011719, MONDO_0002691, EFO_0000702, EFO_0003833, EFO_0003897, EFO_0003060, MONDO_0007254, EFO_0004142, EFO_0000519, EFO_0008528, EFO_0006352, EFO_0001378, EFO_0000182, MONDO_0008170, EFO_0002618, MONDO_0002087, MONDO_0007254, MONDO_0008667, EFO_0000239, EFO_0000616, MONDO_0008903, EFO_0000558, MONDO_0008667, EFO_0007416, EFO_0000514, EFO_0000222, EFO_0000519, MONDO_0002158, EFO_0004243, MONDO_0007576, EFO_0003060, MONDO_0002158, EFO_1001951, EFO_1000984, MONDO_0001187, EFO_1000796, MONDO_0008903, EFO_0000616, EFO_0000756, EFO_1000576, EFO_0003863, EFO_1001465, EFO_0000196, EFO_0000501, EFO_1000045, EFO_0002618, MONDO_0008315, EFO_1001951, MONDO_0002087, EFO_0000632, EFO_0000588, EFO_0003865, EFO_0007243, EFO_0004252, EFO_0000637, EFO_0000691, EFO_0000182, HP_0001541, EFO_1001465, EFO_0000349, EFO_1001968, MONDO_0018364, EFO_0007143, EFO_0002938, EFO_1001968, MONDO_0008315, EFO_0000681, EFO_1001901, MONDO_0004992, MONDO_0001187, EFO_0007416, MONDO_0004992, MONDO_0007576, MONDO_0004986, EFO_0002892, EFO_1000576, EFO_0002617, EFO_1001901","",""
CHEMBL74355,CHEMBL225,7.89,7.89,7.89,Small molecule,3.0,false,CHEMBL828083,B,Homo sapiens,Serotonin 2c (5-HT2c) receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P28335,GPCR,TRUE,TRUE,ANTAGONIST,CHEMBL224,false,ENSG00000147246,false,true,false,true,false,1,2,,,,chembl,ENSG00000102468,"MONDO_0002050, EFO_0008568","CHEMBL2095200, CHEMBL2111466, CHEMBL2096662, CHEMBL2096904","P28223, P30939, P41595"
CHEMBL426559,CHEMBL2069,8.53,8.53,8.53,Small molecule,4.0,true,CHEMBL856875,B,Homo sapiens,Thromboxane A2 receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P21731,GPCR,TRUE,TRUE,ANTAGONIST,CHEMBL4427,false,ENSG00000006638,false,false,true,true,false,1,8,ANTAGONIST,Binds to a receptor and prevents activation by an agonist through competing for the binding site,NEGATIVE MODULATOR,impc,ENSG00000168229,"Orphanet_309005, EFO_0004911, HP_0003124, Orphanet_79211, EFO_1000760, MONDO_0005148, HP_0031284, MONDO_0021187","",""
CHEMBL1091,CHEMBL4261,6.90,6.90,6.9,Small molecule,4.0,true,CHEMBL1614456,F,Homo sapiens,Hypoxia-inducible factor 1 alpha,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16665,TF,TRUE,TRUE,AGONIST,CHEMBL2034,false,ENSG00000100644,false,false,true,true,false,1,8,,,,"eva, cancer_gene_census",ENSG00000113580,"EFO_0009552, EFO_0004208, EFO_0000274, HP_0000989, EFO_0005752, MP_0001845, EFO_0000701, MONDO_0002050","CHEMBL3885588, CHEMBL4296108, CHEMBL2221345, CHEMBL4296117","Q16665, Q09472"
CHEMBL476,CHEMBL1293232,5.20,5.20,5.2,Small molecule,4.0,true,CHEMBL1613842,F,Homo sapiens,Survival motor neuron protein,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16637,Epigenetic,TRUE,TRUE,INHIBITOR,CHEMBL2311221,false,ENSG00000172062,false,false,true,true,false,,23,,,,impc,"","EFO_0000574, MONDO_0002898, EFO_1001968, EFO_0000183, EFO_0007143, EFO_1001901, MONDO_0002367, EFO_0000691, EFO_0000211, EFO_0000616, MONDO_0002108, EFO_0000621, EFO_1000045, MONDO_0007254, EFO_0001376, EFO_0000389, MONDO_0021063, EFO_0000756, EFO_0002617, MONDO_0009348, MONDO_0004992, MONDO_0008903, EFO_0000564","",""
CHEMBL476,CHEMBL1293232,5.20,5.20,5.2,Small molecule,4.0,true,CHEMBL1613842,F,Homo sapiens,Survival motor neuron protein,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16637,Epigenetic,TRUE,TRUE,INHIBITOR,CHEMBL2311221,false,ENSG00000205571,false,false,true,true,false,,23,,,,impc,"","EFO_0000574, MONDO_0002898, EFO_1001968, EFO_0000183, EFO_0007143, EFO_1001901, MONDO_0002367, EFO_0000691, EFO_0000211, EFO_0000616, MONDO_0002108, EFO_0000621, EFO_1000045, MONDO_0007254, EFO_0001376, EFO_0000389, MONDO_0021063, EFO_0000756, EFO_0002617, MONDO_0009348, MONDO_0004992, MONDO_0008903, EFO_0000564","",""
CHEMBL1615281,CHEMBL205,6.02,6.02,6.02,Small molecule,1.0,false,CHEMBL3762506,B,Homo sapiens,Carbonic anhydrase II,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P00918,Enzyme,TRUE,TRUE,"","",false,ENSG00000104267,false,true,false,true,false,,2,,,,chembl,"","EFO_0000616, EFO_0002517","CHEMBL2096906, CHEMBL2095180",P00918
CHEMBL1631540,CHEMBL3155,6.80,6.80,6.8,Small molecule,2.0,false,CHEMBL1635454,B,Homo sapiens,Serotonin 7 (5-HT7) receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P34969,GPCR,TRUE,TRUE,ANTAGONIST,"CHEMBL228, CHEMBL214, CHEMBL1898, CHEMBL1983",false,ENSG00000148680,false,true,false,true,false,4,2,,,,chembl,"ENSG00000135312, ENSG00000178394, ENSG00000179546, ENSG00000108576","MONDO_0002050, MONDO_0002009",CHEMBL2096904,P30939
CHEMBL20,CHEMBL3912,"7.77, 8.00",8.00,7.77,Small molecule,4.0,true,CHEMBL4043565,B,Homo sapiens,Carbonic anhydrase XIII,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q8N1Q1,Enzyme,TRUE,TRUE,INHIBITOR,"CHEMBL205, CHEMBL3242, CHEMBL3729, CHEMBL261",false,ENSG00000185015,false,true,false,true,false,4,33,,,,chembl,"ENSG00000167434, ENSG00000074410, ENSG00000133742, ENSG00000104267","MONDO_0005301, EFO_0002617, MONDO_0005147, EFO_0003086, Orphanet_37553, EFO_0003918, EFO_1000961, MONDO_0005041, EFO_1001065, HP_0012532, HP_0002104, EFO_0009373, MONDO_0005090, EFO_0005252, EFO_0008526, MONDO_0003005, EFO_1001132, EFO_0000182, EFO_0001361, EFO_1000782, MONDO_0005041, EFO_0007231, EFO_0003144, EFO_0000702, MONDO_0001744, EFO_0000712, HP_0001250, EFO_0000373, MONDO_0001744, HP_0001250, EFO_0000474, EFO_0009373, EFO_1001010",CHEMBL2095180,P00918
CHEMBL370805,CHEMBL228,"6.60, 6.54, 5.62, 6.41",6.60,6.41,Small molecule,4.0,true,CHEMBL911127,B,Homo sapiens,Serotonin transporter,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P31645,Transporter,TRUE,TRUE,BLOCKER,CHEMBL2331043,false,ENSG00000108576,false,true,false,true,false,10,5,,,,chembl,"ENSG00000144285, ENSG00000183873, ENSG00000007314, ENSG00000136546, ENSG00000136531, ENSG00000169432, ENSG00000153253, ENSG00000168356, ENSG00000196876, ENSG00000185313","EFO_0005800, EFO_0005611, MONDO_0005271, EFO_0002610, EFO_0002610","CHEMBL2095201, CHEMBL2111346, CHEMBL2363064",P31645
CHEMBL3621988,CHEMBL3192,6.08,6.08,6.08,Small molecule,3.0,false,CHEMBL4387979,B,Homo sapiens,Histone deacetylase 8,,,9,Direct single protein target assigned,,SINGLE PROTEIN,Q9BY41,Epigenetic,TRUE,TRUE,"","",false,ENSG00000147099,false,true,true,true,false,,32,,,,"impc, chembl","","MONDO_0019472, EFO_0000096, EFO_0000764, EFO_0005952, EFO_0000403, EFO_0000211, MONDO_0000873, EFO_0000220, EFO_1001951, EFO_0002913, EFO_0000222, EFO_0003060, EFO_0001416, EFO_0000616, MONDO_0002120, EFO_0005922, EFO_0000765, HP_0001873, EFO_0005537, EFO_0003869, EFO_0000180, EFO_0001378, EFO_0000231, EFO_0000209, EFO_0000574, EFO_0000255, EFO_0000621, MONDO_0007254, EFO_0000183, MONDO_0000430, EFO_0000691, MONDO_0001187","CHEMBL3885589, CHEMBL2093865, CHEMBL4523988, CHEMBL3038483",Q13547
CHEMBL3092562,CHEMBL2652,9.00,9.00,9.0,Small molecule,1.0,false,CHEMBL4041376,B,Homo sapiens,Phosphodiesterase 2A,,,9,Direct single protein target assigned,,SINGLE PROTEIN,O00408,Enzyme,TRUE,TRUE,"","",false,ENSG00000186642,false,true,false,true,false,,2,,,,chembl,"","MONDO_0005277, MONDO_0005090","CHEMBL2111470, CHEMBL2363066",O76074
CHEMBL964,CHEMBL3687,5.45,5.45,5.45,Small molecule,4.0,true,CHEMBL1614252,F,Homo sapiens,Arachidonate 12-lipoxygenase,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P18054,Enzyme,TRUE,TRUE,INHIBITOR,CHEMBL1935,false,ENSG00000108839,false,false,true,true,false,1,21,,,,"uniprot_literature, impc",ENSG00000111275,"EFO_0001378, EFO_0002610, EFO_0000519, EFO_0005611, EFO_0001067, EFO_0001073, EFO_0002617, MONDO_0004992, EFO_0003060, EFO_0004701, EFO_0002618, EFO_0000756, MONDO_0008315, HP_0012378, EFO_0000691, EFO_0000764, MONDO_0021698, MONDO_0007254, MONDO_0007079, MONDO_0100096, EFO_0000514","",""
CHEMBL841,CHEMBL340,5.30,5.30,5.3,Small molecule,4.0,true,CHEMBL1614108,A,Homo sapiens,Cytochrome P450 3A4,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P08684,Enzyme,TRUE,TRUE,AGONIST,CHEMBL233,false,ENSG00000160868,false,true,false,true,false,1,14,,,,chembl,ENSG00000112038,"EFO_0000305, MONDO_0004565, EFO_0000616, EFO_0009130, MONDO_0007254, EFO_0009523, EFO_0000512, MONDO_0004992, EFO_0003060, HP_0000964, HP_0002014, EFO_0003869, HP_0002014, EFO_0003843","CHEMBL2111472, CHEMBL4523986, CHEMBL2364675",P08684
CHEMBL104,CHEMBL4305,6.44,6.44,6.44,Small molecule,4.0,true,CHEMBL948111,B,Homo sapiens,Intermediate conductance calcium-activated potassium channel protein 4,,,9,Direct single protein target assigned,,SINGLE PROTEIN,O15554,IC,TRUE,TRUE,INHIBITOR,CHEMBL1780,false,ENSG00000104783,false,true,true,true,false,0,15,,,,"impc, chembl","","MONDO_0002026, EFO_0007512, MONDO_0021201, HP_0000989, EFO_0007510, EFO_0003086, EFO_1000702, EFO_0009365, EFO_0003932, MONDO_0011382, MONDO_0002041, EFO_0007543, EFO_0000544, EFO_0000764, EFO_0007406",CHEMBL4524132,Q92952
CHEMBL413376,CHEMBL1293235,5.40,5.40,5.4,Small molecule,3.0,false,CHEMBL1614310,F,Homo sapiens,Prelamin-A/C,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P02545,None,TRUE,TRUE,INHIBITOR,CHEMBL2120,false,ENSG00000160789,false,false,true,true,false,1,15,,,,"ot_genetics_portal, cancer_gene_census",ENSG00000113578,"MONDO_0008315, EFO_0000681, MONDO_0007254, DOID_10113, EFO_1000796, HP_0001919, EFO_0000673, MONDO_0001187, EFO_0005044, EFO_0007294, EFO_0003060, EFO_0003756, EFO_0001378, EFO_1000158, EFO_1001951","",""
